PID,AGE,GENDER,SES,CACT1_1,CACT1_1A,CACT1_2,CACT1_2A,CACT1_3,CACT1_3A,CACT1_4,CACT1_4A,CACT1_5,CACT1_5A,CACT1_6,CACT1_6A,CACT1_7,CACT1_7A,CACT2_1,CACT2_2,CACT2_1A,CACT2_2A,CACT4,CACT4_1A,CACT5_1,CACT5_1A,CACT5_2,CACT5_2A,CACT5_3,CACT5_3A,CACT6_1,CACT6_1A,CACT6_2,CACT6_2A,CACT6_3,CACT6_3A,CACT6_4,CACT6_4A,CACT6_5,CACT6_5A,CACT6_6,CACT6_6A,CACT8_1,CACT8_1A,CACT8_2,CACT8_2A,CACT8_3,CACT8_3A,CEIE1_1,CEIE1_2,CEIE1_3,CEIE1_4,CEIE1_5,CEIE1_6,CEIE1_7,CEIE1_8,CEIE1_9,CEIE1_10,CEIE1_11,CEIE1_12,CEIE1_13,CEIE1_14,CEIE1_15,CEIE1_16,CEIE2_1,CEIE2_2,CEIE2_3
5c80c8e47b3bdf00010d2a7e,,1,7,1,1,1,4.9,0,,0,,0,,0,,1,2.4,0,1,,0,0,,0,,1,4.8,1,2.5,0,,0,,0,,0,,0,,0,,0,,0,,0,,8.8,7.1,8.3,6.2,8.3,5.9,2.6,0.8,1.8,3.8,7,7.1,8.2,4.4,2.9,2.4,6.9,6.2,7.5
5c80cae6eedd71000117fad2,,1,7,1,3,1,8.7,1,0,1,0.4,1,1.9,1,2.3,1,4,0,0,,,1,2,0,,1,10,1,10,0,,1,4.3,1,1,0,,0,,0,,1,8.4,0,,0,,6.4,5.8,5.9,6.1,6.4,6.4,6.2,6,6.5,6.6,6.5,6.1,7.4,6.8,6.7,6.5,6,6.1,6.5
5c813f28d0a93a0001754520,,1,7,1,120,1,5,0,,1,0.1,0,,0,,0,,0,0,,,0,,1,5,1,2.6,0,,0,,1,2.8,0,,0,,1,0.2,0,,0,,0,,0,,9.7,3.4,3.4,3.4,1.8,1.8,2,1,8.9,1.8,6.5,6.2,7.3,1.4,1.8,2.7,7.1,5.2,5.9
5c8179229f53290001970db3,,1,6,1,2,1,8.6,1,0.6,0,,0,,0,,1,2.3,0,0,,,1,2,0,,1,8.7,1,6.3,0,,1,2.6,0,,1,1.4,0,,1,2.4,1,5.1,0,,0,,6.3,6.3,4.3,4.3,5.4,7,6.5,5.9,6.9,5.9,6.4,6.3,6.4,7.6,4.3,4.3,8.2,7.7,8.6
5c819ef07e3a9f0016244843,,1,6,0,,1,7.5,0,,0,,0,,1,5,1,0.2,0,1,,0.5,0,,0,,1,2.4,1,7.8,0,,1,2.4,1,5,0,,0,,0,,0,,0,,0,,6.7,6.9,8.1,8,8,8.1,8.1,8.3,8.1,8.1,8.2,8,8.2,8.4,8.3,8.4,6,3,2.7
5c81f8a4e534f80016132626,,1,7,0,,1,7.6,0,,0,,1,3.5,1,3.5,0,,0,0,,,1,1,0,,1,7.5,0,,1,6.4,1,3.4,0,,0,,0,,0,,0,,0,,0,,3.2,5,3.5,1.3,1.3,1.7,4.7,0,0,0,6.4,6.3,5.4,2.6,0.5,0.1,6.3,5.2,7.6
5c83141b879a350001ded8f7,,1,6,0,,1,,0,,1,0,0,,1,7.8,1,0.7,0,0,,,1,1,1,2.4,1,8.7,1,6.8,0,,1,2.2,1,6.5,0,,0,,0,,0,,0,,0,,7.8,4.2,2.9,1.2,1.5,1.6,1.5,5.6,6.9,2.2,9.7,8.5,6.2,5.2,4,4.1,4.2,2.6,5.7
5c831db8d4f0a80015762b81,,1,7,0,,1,3.3,0,,0,,0,,1,2.5,0,,0,0,,,0,,0,,1,8.4,1,6.5,1,5.1,1,3.8,1,3.1,1,3.1,0,,0,,1,3,0,,0,,2.9,2.3,3.3,0.7,0.9,2.3,1.8,2.7,2.2,0,4,4.3,4.2,2.8,0.1,0,6.6,6.1,4.9
5c83374a1b699a00111c2e2d,,1,6,1,3,1,6.4,0,,1,4,1,6.1,0,,0,,1,0,5.2,,0,,1,4.2,1,4.3,1,4,0,,1,4.1,1,4.5,0,,0,,1,5.8,0,,0,,0,,7.9,8,8,7.6,7.5,8.3,8.2,8.3,8.3,7.8,8.4,8.1,8.4,8.4,7.9,8.1,8.8,8.7,8.7
5c8361994dae95001695ec70,23,1,5,0,,1,7.1,0,,0,,1,3.4,1,2.5,0,,0,0,,,0,,0,,1,7,1,1.4,1,2.4,1,5.1,1,1.1,0,,0,,0,,0,,0,,0,,6.5,8.7,5.4,5.3,5.2,6,4.7,3.6,6.3,0,6.1,8.3,4.9,4.5,0.1,0.2,6.2,5.9,10
5c83cc3dc558df00165662a6,22,1,5,0,,1,2.3,0,,0,,0,,0,,1,2.7,0,0,,,0,,0,,1,5.3,1,2.8,0,,0,,1,2.5,1,1.4,0,,0,,1,2.3,0,,0,,7,3.5,5.3,6.5,6.4,4.5,6.8,7.1,5.8,3,5.3,6.9,6.7,5.3,5.4,7.1,5.9,6,6.1
5c8474c39cef4f0014a17b38,19,1,8,0,,1,5.6,0,,0,,0,,0,,0,,0,0,,,0,,0,,1,5,0,,0,,1,5,0,,0,,0,,0,,0,,0,,0,,9.3,9.3,8.6,8.5,9.1,8.4,8.9,9.8,10,1.1,8.7,9.3,8.6,9.6,1.4,2,8.3,9.8,9.1
5c85affc4c1a610001556751,23,1,7,1,2,1,7.7,0,,1,5.2,1,5.1,1,4.9,1,2.4,0,0,,,0,,0,,1,4.9,1,10,0,,1,5.2,1,2.4,1,7.5,1,4.9,1,7.6,1,10,0,,0,,10,9.9,9.8,9.2,6.4,9.1,8.8,10,10,5.3,8.5,10,10,5.2,9.5,8.9,9.8,8.8,10
5c85f76d4755b000120433e9,22,1,6,1,12,1,5.1,1,4.7,1,1,1,7.5,1,8.2,1,0.7,1,0,7.1,,0,,0,,0,,1,7.8,0,,1,7.5,0,,1,2.8,1,0,1,2.4,1,7.1,0,,0,,8.7,8.5,5.4,7.2,4.7,4.7,8.7,1.4,0.7,5,9.1,3.5,4.4,3.7,2.5,0.4,7.1,4.2,4.9
5c86021976da300015eeba6d,18,1,9,0,,1,6.1,0,,0,,1,2.4,0,,1,1,0,0,,,0,,0,,1,7.6,1,9.1,1,6.7,1,2.5,1,5.9,0,,0,,0,,0,,0,,0,,6.6,6,7.6,7,4.7,6.9,4.4,1.7,9.5,1.3,9.5,9.3,6.8,3.3,3.3,6,9.5,3.2,7.6
5c868ae9fff8430016e9a6c5,19,1,6,0,,1,8.7,0,,0,,0,,1,5.9,1,2.2,0,1,,0.7,0,,0,,1,8.1,1,6.1,0,,1,7.9,1,4.8,0,,0,,0,,0,,0,,1,4,10,8,9.9,5,1.7,9.7,7.5,5.2,6.3,2.2,5.7,8.2,6.4,2.9,0.8,0.8,10,9.8,10
5c86a93a7e3a9f0016245b4f,21,1,7,1,1,1,7.5,1,0,1,2.6,1,1.9,0,,1,0.4,1,1,6.5,0.1,1,1,0,,1,5.3,1,7.2,0,,1,5.3,1,7.2,1,7,1,4.4,1,5.3,0,,0,,0,,8.7,7.1,7.5,5.1,3.9,8.6,2,6.8,5.4,3.3,7.1,7.7,5.5,3.1,2.9,3.1,6.7,6.3,6.7
5c86aa1891d8a80016a92c19,24,1,5,1,3,0,,0,,0,,0,,0,,0,,0,1,,1.3,0,,1,2.9,1,7.9,1,6.5,0,,1,4.9,1,5.1,1,1.1,1,2,1,0.2,1,3.8,1,7.3,0,,8.1,6.8,8.9,8.4,4.4,7.6,8.2,9.8,9.8,3.9,9.5,6.5,7.1,8.6,6.9,5.3,8.6,5.8,9.4
