,Q2,Q4,Q5,Q10,Q12,Q14,Q17,Q18,Q26,Q28,Q30,Q32,Q34,Q35,Q39,Q45,Q47,Q48,Q49,Q50,Q51,Q52,Q53,Q54,Q56,Q59,Q60,Q63,Q66,Q70,Q71,Q72,Q63,Q74,Q75,Q76,Q77,Q78,Q79,Q80,Q82,Q84,Q86,Q88,Q89,Q90,Q91,Q95,Q98
108,2,1,    E,2,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,2,2,1,3,2,2,2,8,2,3,3,3,1,4,1,1,1,6,2
109,2,1, ,2,1,1,1,1,2,1,1,1,1,1,1,3,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,2,1,1,6,4,1,1,2,2,3,2,1,1,6,2
110,1,1, ,1,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,4,2,5,8,3,3,4,1,2,1,4,1,2,1,3,2
111,2,1, ,2,1,1,1,1,2, ,2,1,2,1,1,1,1,1,2,1,1,1,1,1,1, , , ,1,2,1,7, ,2,5,3,6,7,1,4,4,2,1,3,1,2,1,4,2
112,1,1,    E,2,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,2,7,1,1,3,2,1,3,1,1,1,7,2
113,1,1,    E, ,1,1,1,1,2,1,2,1,2,1,1,3,1,2,1,1,1,1,1,1,1,7,3,3,1,5,1,1,3,1,3,1,3,2,4,7,2,2,2,4,3,1,1,1,2
114,1,2,    E,1,5,1,1,1,1,2,1,1,1, ,1,7,6,1,1,1,1,1,1,1,1,6,7,2,3,7,1,7,2,4,3,1,4,4,5,5,1,1,3,3,2,1,1,1,1
115,1,1,    E,1,1,1,1,1,2,1,2,1,1,1,1,4,1,1,1,1,1,1,1,1,1,7,3,3,1,3,2,2,3,3,2,2,8,1,1,6,1,2,5,3,1,1,1,1,1
116,2,1,    E,2,1,1,3,1,2,1, ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,5,3,1,5,2,2,3,2,2,6,8,7,1,6,1,2,1,3,2,1,1,4,1
117,2,1,    E,2,1,1,1,1,2,1,2,1,2,1,1,4,1,1,1,1,1,1,1,1,1,8,2,2,2,2,1,1,2,1,3,1,3,4,3,1,4,2,1,4,2,1,1,3,1
118,1,1,    E,1,1,1,1,1,1,1,2,1,1,2,1,6,4,1,1,1,1,1,1,1,1,1,1,1,1,5,3,2,1,6,1,1,5,6,4,4,2,2,1,2,1,1,1,6,2
119,1,1,    E,2,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,1,1,2,2,4,8,6,1,6,4,2,4,4,1,1,1,6,2
120,1,1,A,2,1,2, ,1,2, ,1,3,1,5,2,6,3,2,2,1,1,1,1,1,1,7,2,2,1,4,4,2,2,4,1,1,1,8,2,1,2,2,1,5,2,1,1,6,1
121,2,1, ,1,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,2,2,1,2,2,2,8,6,4,1,2,2,5, ,1,1,1,2,2
122,2,1,    E,1,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,2,2,1,6,1,3,8,6,3,3,2,2,1,6,1,1,1,4,2
123,1,1, B  E,2,1,1,1,1,2,1,2,1,1,3,3,5,2,1,2,1,1,1,1,1,1,8,2,2,3,3,1,2,2,4,5,2,5,2,6,7,1,2,3,3,2,1,1,2,1
124,1,1,    E,2,1,1,1,1,2,1,1,6,1,6,3,6,5,1,1,1,1,1,1,1,1, , , , , , , , , , , , , , , , , , ,3, ,1,1, , 
125,2,1, ,4,5,1,8,8,2, ,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
126,2,1, ,2,5,1,8,1,2,1, , , , ,3,7,6,1,3,4,2,3,5,1,1,3,6,3,1,2,2,1,3,4,4,3,8,4,5,1,1,2,1,4,3,3,1,7,2
127,1,1, ,1,1,1,3,2,1,2,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
128,1,1, ,2,3,1,1,1,2,1,2,1,1,4,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,4,1,3,1,5,4,7,1,1,4,2, , , ,1,1,5, 
129,2,2,    E, ,5,1,8,8,2,1,2,1,1, ,1, ,1,1,1,1,1,1,1,1,1,4,7,3,1,6,1,3,3,3,3,6,3,8,1,5,2,1,5,3,3,1,1,8,2
130,2,2,  C E,2,1,1,1,1,2, ,2,1,2,1,1,3,2,1,1,1,1,1,1,1,1, , , ,1,2,2,2, ,4,7,5,6,2,1,7,1,2,1,1,2,1,1,6,2
131,2,1,    E,1,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,1,1,6,1,1,6,7,1,5,1,2,3,6,1,1,1,7,2
132,1,2,  C,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,2,1,7,3,2,8,8,2,5,3,1,1,5,1,1,1,8,2
133,2,1,    E, ,2,1, , ,2,1,2,1,1, ,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,6,1,2,1,1,2,1,5,4,2,1,1,2,1,1,5,1,1,7,2
