,tree_id,tree_dbh,stump_diam,curb_loc,status,health,spc_latin,steward,guards,sidewalk,problems,root_stone,root_grate,root_other,trunk_wire,trnk_light,trnk_other,brch_light,brch_shoe,brch_other
580866,76254,6,0,OnCurb,Alive,Good,Ulmus parvifolia,None,None,Damage,"Stones,TrunkOther",Yes,No,No,No,No,Yes,No,No,No
1846,160955,15,0,OnCurb,Alive,Good,Quercus palustris,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
663578,177164,9,0,OnCurb,Alive,Fair,Pyrus calleryana,None,None,NoDamage,BranchLights,No,No,No,No,No,No,Yes,No,No
452330,661468,24,0,OnCurb,Alive,Good,Platanus x acerifolia,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
133403,349334,14,0,OnCurb,Alive,Good,Pyrus calleryana,1or2,Harmful,Damage,"Stones,BranchLights",Yes,No,No,No,No,No,Yes,No,No
262419,441778,13,0,OnCurb,Alive,Fair,Platanus x acerifolia,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
289333,498378,6,0,OffsetFromCurb,Alive,Good,Tilia cordata,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
496767,700445,6,0,OnCurb,Alive,Poor,Prunus,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
160251,364926,12,0,OnCurb,Alive,Good,Quercus palustris,None,None,Damage,Stones,Yes,No,No,No,No,No,No,No,No
119227,310529,14,0,OnCurb,Alive,Fair,Gleditsia triacanthos var. inermis,None,None,Damage,RootOther,No,No,Yes,No,No,No,No,No,No
135364,309236,24,0,OnCurb,Alive,Fair,Acer platanoides,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
103697,316997,8,0,OnCurb,Alive,Fair,Acer ginnala,1or2,None,NoDamage,None,No,No,No,No,No,No,No,No,No
565280,57624,21,0,OnCurb,Alive,Good,Tilia americana,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
420543,627526,17,0,OnCurb,Alive,Good,Styphnolobium japonicum,None,None,NoDamage,None,No,No,No,No,No,No,No,No,No
539330,14948,30,0,OnCurb,Alive,Good,Quercus palustris,None,None,Damage,None,No,No,No,No,No,No,No,No,No
328185,544291,2,0,OnCurb,Alive,Fair,Pyrus calleryana,None,None,NoDamage,"Stones,TrunkOther,BranchLights",Yes,No,No,No,No,Yes,Yes,No,No
224477,379875,3,0,OnCurb,Alive,Good,Syringa reticulata,None,None,Damage,None,No,No,No,No,No,No,No,No,No
