Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2019-04-22,2019,4,22,Monday,16,2019-16,289.17,290.44,289.07,290.27,40160100,275.14,0.0008619996794005935,273.5857142857143,266.3472
2019-04-23,2019,4,23,Tuesday,16,2019-16,290.68,293.14,290.42,292.88,52246600,277.62,0.008991570326564613,274.05357142857144,266.7946
2019-04-24,2019,4,24,Wednesday,16,2019-16,292.79,293.16,292.07,292.23,50392900,277.0,-0.00221931380123197,274.44714285714286,267.22679999999997
2019-04-25,2019,4,25,Thursday,16,2019-16,292.12,292.78,290.73,292.05,57770900,276.83,-0.0006159682186399618,274.77714285714285,267.5898
2019-04-26,2019,4,26,Friday,16,2019-16,292.1,293.49,291.24,293.41,50916400,278.12,0.004656948558819707,275.10499999999996,267.9618
2019-04-29,2019,4,29,Monday,17,2019-17,293.51,294.45,293.41,293.87,57197700,278.56,0.0015675783624589101,275.44928571428574,268.3542
2019-04-30,2019,4,30,Tuesday,17,2019-17,293.49,294.34,291.92,294.02,81111700,278.7,0.0005102048641794088,275.9035714285714,268.693
2019-05-01,2019,5,1,Wednesday,17,2019-17,294.72,294.95,291.8,291.81,71671900,276.6,-0.007516236487752348,276.14142857142855,268.98060000000004
2019-05-02,2019,5,2,Thursday,17,2019-17,291.68,292.7,289.52,291.18,65030200,276.01,-0.0021590468021857045,276.34285714285716,269.24600000000004
2019-05-03,2019,5,3,Friday,17,2019-17,292.82,294.34,291.3,294.03,56543700,278.71,0.009787649545512922,276.60499999999996,269.584
2019-05-06,2019,5,6,Monday,18,2019-18,289.25,293.31,288.9,292.82,107198100,277.56,-0.004115333581380387,276.79785714285714,269.8666
2019-05-07,2019,5,7,Tuesday,18,2019-18,290.15,290.81,285.81,287.93,144729900,272.93,-0.016699449922980447,276.64714285714285,270.0494
2019-05-08,2019,5,8,Wednesday,18,2019-18,287.53,289.43,286.87,287.53,91568300,272.55,-0.0013893226445501616,276.51714285714286,270.2284
2019-05-09,2019,5,9,Thursday,18,2019-18,285.23,287.33,283.3,286.66,103471100,271.72,-0.0030259388259616937,276.2892857142857,270.393
2019-05-10,2019,5,10,Friday,18,2019-18,285.62,288.94,282.3,288.1,112429300,273.09,0.005023721444360918,276.14285714285717,270.5948
2019-05-13,2019,5,13,Monday,19,2019-19,282.42,283.49,279.93,280.86,127290500,266.22,-0.025130167241661394,275.3285714285714,270.6264
2019-05-14,2019,5,14,Tuesday,19,2019-19,281.99,285.1,281.85,283.4,77003200,268.63,0.00904384663644442,274.73071428571427,270.72540000000004
2019-05-15,2019,5,15,Wednesday,19,2019-19,281.59,285.77,281.36,285.06,73956400,270.2,0.005857195666779447,274.25714285714287,270.863
2019-05-16,2019,5,16,Thursday,19,2019-19,285.84,289.21,285.76,287.7,76749600,272.71,0.009261283857898484,273.8707142857143,271.08279999999996
2019-05-17,2019,5,17,Friday,19,2019-19,285.14,288.6,285.12,285.84,100353000,270.94,-0.0064652625585492896,273.3264285714286,271.31080000000003
2019-05-20,2019,5,20,Monday,20,2019-20,284.06,285.96,283.12,283.95,62877600,269.15,-0.006611858815154692,272.64428571428573,271.5134
2019-05-21,2019,5,21,Tuesday,20,2019-20,285.83,286.93,285.55,286.51,46847100,271.58,0.00901538711332095,272.2857142857143,271.6896
2019-05-22,2019,5,22,Wednesday,20,2019-20,285.45,286.69,285.1,285.63,49482500,270.74,-0.003071097077232521,271.90928571428566,271.8292
2019-05-23,2019,5,23,Thursday,20,2019-20,283.16,283.21,280.57,282.14,98733800,267.44,-0.012218869515327802,271.1042857142857,271.86780000000005
