,game_end_time_utc,game_id,game_mode,game_outcome,game_start_time_utc,game_type,realm_id
2650,2022-12-05 01:38:11,a7762780-aea8-460e-a6aa-799702eb6ac4,Matchmaking,Loss,2022-12-05 01:31:43,Deathmatch,na
2651,2022-12-05 02:06:12,90574a31-5e70-418c-bfa1-a219af4bf758,Matchmaking,Win,2022-12-05 01:42:24,Ranked,na
2652,2022-12-06 03:05:30,ca4a47d9-8dca-4f7d-af38-bbd381d82504,ShootingRange,Loss,2022-12-06 02:56:55,Not Applicable,na
2653,2022-12-06 03:12:47,4a86c120-1739-42a2-ba62-911f0855ddff,Matchmaking,Loss,2022-12-06 03:06:16,Deathmatch,na
2654,2022-12-06 03:54:18,bd778ae3-e9e3-468d-a8db-230b449070c0,Matchmaking,Win,2022-12-06 03:24:06,Ranked,na
2655,2022-12-06 04:41:41,c54f0631-ac78-4c5e-9eeb-cc8c5e182a1d,Matchmaking,Loss,2022-12-06 04:05:08,Ranked,na
2656,2022-12-06 05:20:04,92821dc4-257d-42ed-bba7-216b5625db37,Matchmaking,Win,2022-12-06 04:46:09,Ranked,na
2657,2022-12-06 06:00:32,8b9dc6a3-adcf-485d-b997-4d5191eecd06,Matchmaking,Loss,2022-12-06 05:30:30,Ranked,na
2658,2022-12-06 06:59:47,03887a1b-5f00-4d4d-954a-45e8fa1a4051,Matchmaking,Win,2022-12-06 06:20:47,Ranked,na
2659,2022-12-06 07:29:34,6b40a2d7-ea44-482f-96d7-491cbc2d610d,Matchmaking,Loss,2022-12-06 07:04:52,Ranked,na
2660,2022-12-06 08:19:30,f7c47b7e-2634-412d-91ce-3acca518158b,Matchmaking,Win,2022-12-06 07:33:02,Ranked,na
2661,2022-12-07 02:15:26,1e5f1a12-e9af-4ca2-a49a-e28746142d29,ShootingRange,Loss,2022-12-07 02:06:38,Not Applicable,na
2662,2022-12-07 02:22:05,eea60fc0-e7fd-4590-9d11-d56bbe403dec,Matchmaking,Loss,2022-12-07 02:16:01,Deathmatch,na
2663,2022-12-07 02:29:54,3df3c5f0-aab4-4820-9361-a58ea2c7bf24,Matchmaking,Loss,2022-12-07 02:23:20,Deathmatch,na
2664,2022-12-07 03:04:24,87e2eb44-eb64-4d97-a723-d1d41e36e754,Matchmaking,Win,2022-12-07 02:33:49,Ranked,na
2665,2022-12-07 03:41:50,7bce5f69-e08d-4309-b2b0-57f8afae341c,Matchmaking,Win,2022-12-07 03:07:15,Ranked,na
2666,2022-12-07 04:19:11,86dcf262-2209-4f10-8a54-c92463fcf831,Matchmaking,Win,2022-12-07 03:46:12,Ranked,na
2667,2022-12-07 05:01:04,81a5f945-cd7d-4bc3-b235-8a0628142c67,Matchmaking,Loss,2022-12-07 04:24:57,Ranked,na
2668,2022-12-07 05:11:32,4983241b-fe6f-471b-9f16-f471acdd2418,Matchmaking,Loss,2022-12-07 05:04:56,Deathmatch,na
2669,2022-12-07 05:43:37,a01cbccf-aa1b-47a0-a579-241d50189799,Matchmaking,Loss,2022-12-07 05:41:35,Ranked,na
2670,2022-12-07 06:17:13,58f5080b-626c-48f5-8549-c67a17a3ea42,Matchmaking,Win,2022-12-07 05:45:52,Ranked,na
2671,2022-12-08 04:01:22,90f9142d-0418-4d56-9be4-c1472a40c8a6,ShootingRange,Loss,2022-12-08 03:51:25,Not Applicable,na
2672,2022-12-08 04:09:30,64b062b5-3410-4b06-8b69-88c4334d9adb,Matchmaking,Loss,2022-12-08 04:02:36,Deathmatch,na
2673,2022-12-08 04:18:34,ed043b1d-feba-43c1-b306-838d4c736771,Matchmaking,Loss,2022-12-08 04:10:06,Deathmatch,na
2674,2022-12-08 04:59:38,f6cffb61-1acb-49d6-9697-4049d40544ec,Matchmaking,Win,2022-12-08 04:22:43,Ranked,na
2675,2022-12-08 05:41:50,76dbfe77-9ff4-4138-a2ef-9e78812c8147,Matchmaking,Loss,2022-12-08 05:10:29,Ranked,na
2676,2022-12-08 18:21:26,a09b1f1a-3f23-4646-bb15-c32437018f07,ShootingRange,Loss,2022-12-08 18:07:51,Not Applicable,na
2677,2022-12-08 18:29:47,65352987-4fce-46fa-9871-fbfe98f63699,Matchmaking,Loss,2022-12-08 18:22:32,Deathmatch,na
2678,2022-12-08 19:08:41,4fea712d-78ee-454a-8832-0d56685b0906,Matchmaking,Win,2022-12-08 18:35:22,Ranked,na
2679,2022-12-08 19:35:45,e81c69cf-764f-4d35-9265-d1bbed49ee2d,Matchmaking,Loss,2022-12-08 19:13:55,Ranked,na
2680,2022-12-08 19:45:44,ac3e8564-3dc0-4f14-98a5-de38c3c7ae01,Matchmaking,Loss,2022-12-08 19:38:26,Deathmatch,na
2681,2022-12-08 20:17:26,28ff7aab-96ec-4f7f-b155-098c1ea8d77e,Matchmaking,Loss,2022-12-08 19:48:31,Ranked,na
2682,2022-12-08 20:48:28,52bdc441-b9f8-4a4b-9513-4607f014b381,Matchmaking,Win,2022-12-08 20:24:39,Ranked,na
2683,2022-12-08 21:18:03,784240aa-e832-440c-8e5e-8f9f0c80de25,Matchmaking,Win,2022-12-08 20:50:51,Ranked,na
2684,2022-12-08 22:06:18,8ce114da-81ea-439a-99ef-92b15a4ac572,Matchmaking,Loss,2022-12-08 21:22:24,Ranked,na
2685,2022-12-09 03:25:34,88b2a75a-1464-403c-a5e9-d3ea286c5dc6,Matchmaking,Loss,2022-12-09 03:15:33,Swiftplay,na
2686,2022-12-09 03:35:29,9fe45783-45ec-4868-9e35-7152ebbb1c54,Matchmaking,Win,2022-12-09 03:27:32,Swiftplay,na
2687,2022-12-09 03:47:34,dfda6e6d-6131-4025-9921-8d21546256d6,Matchmaking,Loss,2022-12-09 03:38:46,Deathmatch,na
2688,2022-12-09 03:47:41,dbb686d9-16d9-47d7-925a-fe44f52dbe69,Matchmaking,Loss,2022-12-09 03:41:40,Deathmatch,na
2689,2022-12-09 04:22:12,24e0b294-4fbc-4f11-8519-8f922977e9c6,Matchmaking,Win,2022-12-09 03:49:09,Ranked,na
2690,2022-12-09 04:34:28,2ba7c6c5-73d7-447a-a140-91052937fe3c,Matchmaking,Loss,2022-12-09 04:32:24,Ranked,na
2691,2022-12-09 05:01:19,a6339340-389d-4929-9f2e-2438a4a201e5,Matchmaking,Win,2022-12-09 04:37:13,Ranked,na
2692,2022-12-09 05:31:21,b9df7929-3fb3-4c09-a256-e591b3cce23a,Matchmaking,Loss,2022-12-09 05:05:46,Ranked,na
2693,2022-12-09 06:10:09,c6da3c16-c70b-494f-a4dd-fe387a3bcb56,Matchmaking,Win,2022-12-09 05:34:31,Ranked,na
2694,2022-12-09 07:08:32,1d0b4385-1d87-4a32-b5ba-93b2bb94d285,Matchmaking,Loss,2022-12-09 06:27:52,Ranked,na
2695,2022-12-09 08:05:28,0287c644-a2d3-46fe-af5a-9c24db0fd292,Matchmaking,Loss,2022-12-09 07:56:54,Deathmatch,na
2696,2022-12-09 08:46:22,0860412f-c427-4c6d-8974-00f69856563e,Matchmaking,Loss,2022-12-09 08:03:15,Ranked,na
2697,2022-12-09 09:46:17,ce6e162a-8cbc-48ea-adc4-60a9f44c3df4,Matchmaking,Win,2022-12-09 08:57:18,Ranked,na
2698,2022-12-10 03:22:30,cceb9429-9a65-4dc4-806a-941982b92558,ShootingRange,Loss,2022-12-10 03:12:28,Not Applicable,na
2699,2022-12-10 20:02:28,d1c596fc-3ecf-476e-b0cf-7491fc267c44,ShootingRange,Loss,2022-12-10 20:01:30,Not Applicable,na
2700,2022-12-10 20:17:22,f236002f-aa51-4809-bc19-e84a1a1cd4d6,ShootingRange,Loss,2022-12-10 20:03:43,Not Applicable,na
2701,2022-12-10 20:25:34,ca1e8fa5-f841-414a-8622-8dc2957a47ee,Matchmaking,Loss,2022-12-10 20:18:34,Deathmatch,na
2702,2022-12-10 20:33:14,a26db135-d1df-47b9-80ce-9ebe0458cf13,Matchmaking,Loss,2022-12-10 20:26:08,Deathmatch,na
2703,2022-12-10 20:58:57,0c1a023f-e517-4313-b91d-c9f665572752,Matchmaking,Win,2022-12-10 20:34:53,Ranked,na
