name,stattrak,weapon,skin,condition,sell_price,sell_listings,url,is_key,is_case,type,prices,items,collection,is_package
PP-Bizon | Bamboo Print (Field-Tested),FALSE,PP-Bizon,Bamboo Print,Field-Tested,1.2,29,https://steamcommunity.com/market/listings/730/PP-Bizon%20%7C%20Bamboo%20Print%20%28Field-Tested%29,FALSE,FALSE,Consumer Grade SMG,"             date  price  volume
0     May 27 2015  0.158    1311
1     May 28 2015  0.126    1166
2     May 29 2015  0.147     752
3     May 30 2015  0.176     633
4     May 31 2015  0.212     426
...           ...    ...     ...
2498  Mar 10 2021  1.120       3
2499  Mar 10 2021  1.150      15
2500  Mar 10 2021  1.099       2
2501  Mar 10 2021  1.194       1
2502  Mar 10 2021  1.100       1

[2503 rows x 3 columns]",[],The Rising Sun Collection,
SG 553 | Tiger Moth (Battle-Scarred),FALSE,SG 553,Tiger Moth,Battle-Scarred,1.2,108,https://steamcommunity.com/market/listings/730/SG%20553%20%7C%20Tiger%20Moth%20%28Battle-Scarred%29,FALSE,FALSE,Restricted Rifle,"             date  price  volume
0     Dec 09 2015  2.027     251
1     Dec 10 2015  1.385     226
2     Dec 11 2015  1.212     193
3     Dec 12 2015  1.139     215
4     Dec 13 2015  1.060     218
...           ...    ...     ...
2402  Mar 10 2021  1.270       1
2403  Mar 10 2021  1.231       1
2404  Mar 10 2021  1.131       4
2405  Mar 10 2021  1.080       3
2406  Mar 10 2021  1.141       1

[2407 rows x 3 columns]",[],The Revolver Case Collection,
P250 | Dark Filigree (Factory New),FALSE,P250,Dark Filigree,Factory New,1.2,143,https://steamcommunity.com/market/listings/730/P250%20%7C%20Dark%20Filigree%20%28Factory%20New%29,FALSE,FALSE,Industrial Grade Pistol,"            date  price  volume
0    Nov 19 2019  0.331     292
1    Nov 20 2019  0.378     171
2    Nov 21 2019  0.348     182
3    Nov 22 2019  0.429     181
4    Nov 23 2019  0.399     131
..           ...    ...     ...
904  Mar 09 2021  1.148      10
905  Mar 10 2021  1.307       1
906  Mar 10 2021  1.110       1
907  Mar 10 2021  1.212       1
908  Mar 10 2021  0.756       1

[909 rows x 3 columns]",[],The Canals Collection,
Sawed-Off | Mosaico (Well-Worn),FALSE,Sawed-Off,Mosaico,Well-Worn,1.2,33,https://steamcommunity.com/market/listings/730/Sawed-Off%20%7C%20Mosaico%20%28Well-Worn%29,FALSE,FALSE,Industrial Grade Shotgun,"             date  price  volume
0     Sep 20 2013  1.908       2
1     Sep 21 2013  1.493       3
2     Sep 22 2013  0.498       4
3     Sep 23 2013  0.486       2
4     Sep 24 2013  0.333       7
...           ...    ...     ...
1499  Mar 01 2021  1.215       1
1500  Mar 04 2021  1.205       3
1501  Mar 05 2021  0.855       1
1502  Mar 06 2021  1.105       1
1503  Mar 10 2021  0.850       1

[1504 rows x 3 columns]",[],The Alpha Collection,
Galil AR | Stone Cold (Battle-Scarred),FALSE,Galil AR,Stone Cold,Battle-Scarred,1.24,64,https://steamcommunity.com/market/listings/730/Galil%20AR%20%7C%20Stone%20Cold%20%28Battle-Scarred%29,FALSE,FALSE,Restricted Rifle,"             date  price  volume
0     Sep 18 2015  3.506     451
1     Sep 19 2015  2.381     430
2     Sep 20 2015  1.923     434
3     Sep 21 2015  1.755     366
4     Sep 22 2015  1.605     348
...           ...    ...     ...
2481  Mar 10 2021  1.216       2
2482  Mar 10 2021  1.177       2
2483  Mar 10 2021  1.229       1
2484  Mar 10 2021  1.227       4
2485  Mar 10 2021  1.137       2

[2486 rows x 3 columns]",[],The Shadow Collection,
SSG 08 | Red Stone (Factory New),FALSE,SSG 08,Red Stone,Factory New,1.24,124,https://steamcommunity.com/market/listings/730/SSG%2008%20%7C%20Red%20Stone%20%28Factory%20New%29,FALSE,FALSE,Consumer Grade Sniper Rifle,"            date  price  volume
0    Nov 19 2019  0.518     143
1    Nov 20 2019  0.584     103
2    Nov 21 2019  0.800      56
3    Nov 22 2019  0.659      64
4    Nov 23 2019  0.668      62
..           ...    ...     ...
732  Mar 09 2021  1.241       2
733  Mar 09 2021  1.332       1
734  Mar 10 2021  1.260       1
735  Mar 10 2021  1.240       2
736  Mar 10 2021  0.969       2

[737 rows x 3 columns]",[],The Norse Collection,
G3SG1 | Stinger (Factory New),FALSE,G3SG1,Stinger,Factory New,1.24,119,https://steamcommunity.com/market/listings/730/G3SG1%20%7C%20Stinger%20%28Factory%20New%29,FALSE,FALSE,Restricted Sniper Rifle,"             date  price  volume
0     Nov 29 2016  2.499      70
1     Nov 30 2016  1.507     136
2     Dec 01 2016  1.501      87
3     Dec 02 2016  1.285     109
4     Dec 03 2016  1.204     122
...           ...    ...     ...
2008  Mar 10 2021  1.332       1
2009  Mar 10 2021  1.186       3
2010  Mar 10 2021  1.121       1
2011  Mar 10 2021  1.245       1
2012  Mar 10 2021  1.138       1

[2013 rows x 3 columns]",[],The Glove Collection,
PP-Bizon | Brass (Field-Tested),FALSE,PP-Bizon,Brass,Field-Tested,1.24,136,https://steamcommunity.com/market/listings/730/PP-Bizon%20%7C%20Brass%20%28Field-Tested%29,FALSE,FALSE,Mil-Spec Grade SMG,"             date  price  volume
0     Nov 28 2013  3.337       6
1     Nov 29 2013  2.053      16
2     Nov 30 2013  1.353      19
3     Dec 01 2013  1.647      16
4     Dec 02 2013  1.320      27
...           ...    ...     ...
3296  Mar 10 2021  1.220      12
3297  Mar 10 2021  1.367      19
3298  Mar 10 2021  1.230      15
3299  Mar 10 2021  1.190       5
3300  Mar 10 2021  1.230      12

[3301 rows x 3 columns]",[],The Dust 2 Collection,
Desert Eagle | Light Rail (Field-Tested),FALSE,Desert Eagle,Light Rail,Field-Tested,1.24,1052,https://steamcommunity.com/market/listings/730/Desert%20Eagle%20%7C%20Light%20Rail%20%28Field-Tested%29,FALSE,FALSE,Restricted Pistol,"             date   price  volume
0     Mar 14 2019  10.124     531
1     Mar 15 2019   7.764     628
2     Mar 16 2019   6.400     721
3     Mar 17 2019   5.466     785
4     Mar 18 2019   5.177     557
...           ...     ...     ...
1366  Mar 10 2021   1.305      34
1367  Mar 10 2021   1.330      38
1368  Mar 10 2021   1.326      48
1369  Mar 10 2021   1.346      78
1370  Mar 10 2021   1.310      87

[1371 rows x 3 columns]",[],The Prisma Collection,
Nova | Koi (Factory New),FALSE,Nova,Koi,Factory New,1.24,116,https://steamcommunity.com/market/listings/730/Nova%20%7C%20Koi%20%28Factory%20New%29,FALSE,FALSE,Restricted Shotgun,"             date  price  volume
0     Jul 02 2014  1.710     604
1     Jul 03 2014  1.379     445
2     Jul 04 2014  1.619     285
3     Jul 05 2014  1.817     262
4     Jul 06 2014  1.738     226
...           ...    ...     ...
3069  Mar 10 2021  1.313       6
3070  Mar 10 2021  1.230       5
3071  Mar 10 2021  1.210       5
3072  Mar 10 2021  1.201       1
3073  Mar 10 2021  1.216       6

[3074 rows x 3 columns]",[],The Breakout Collection,
