Replace Name,Date,Code,Course,Description,Period
SDUNT496,3/3/23,A-E,2751-001,Italian 5 ACP,4
SDUNT512,3/3/23,A,2741-001,Italian 4 ACP,4
SDUNT507,3/3/23,A-E,0091-004,Health Trends,4
SDUNT500,3/3/23,A-E,6301-002,Anatomy & Physiology Lab ACP,4
SDUNT363,3/3/23,T,1441-001,Hiphop: LitCultureMusic ACP,4
SDUNT596,3/3/23,A-E,8041-001,Jubilee Singers H,4
SDUNT582,3/3/23,A-E,1401-002,Women in Literature and Society H,4
SDUNT055,3/3/23,T,1441-001,Hiphop: LitCultureMusic ACP,4
SDUNT056,3/3/23,A-E,6011-012,Biology Lab H,5
SDUNT435,3/3/23,A-E,4491-001,Modern America ACP,5
SDUNT329,3/3/23,A-E,8761-001,Class Room Aide Business,5
SDUNT280,3/3/23,A-E,13141-003,Philosophy as Literature ACP,5
SDUNT479,3/3/23,A-E,6371-001,Forensics Lab ACP,5
SDUNT004,3/3/23,A-E,6071-003,AP Physics Lab,5
SDUNT219,3/3/23,A-E,6071-003,AP Physics Lab,5
SDUNT590,3/3/23,T,2321-002,Novice Spanish 2 ACP,5
SDUNT137,3/3/23,A-E,0331-011,Career Wellness,5
SDUNT225,3/3/23,D,0261-002,Dance in Action,5
SDUNT012,3/3/23,A-E,4601-002,Law and Society ACP,5
SDUNT392,3/3/23,A-E,2471-002,Spanish 4 H,5
SDUNT060,3/3/23,A-E,6371-001,Forensics Lab ACP,5
SDUNT394,3/3/23,A-E,5131-006,Math 3 ACP Accelerated (Pre-Calculus),5
SDUNT176,3/3/23,A-E,7051-001,Ceramics Minor 1,5
SDUNT445,3/3/23,A-E,2441-003,Spanish 4 ACP,5
SDUNT178,3/3/23,A-E,1361-004,Art and Technique of Film H,5
SDUNT311,3/3/23,A-E,4301-002,AP US History,5
SDUNT484,3/3/23,T,1501-002,Horror & SciFi Literature ACP,5
SDUNT233,3/3/23,A-E,5611-003,Data Science H,5
SDUNT485,3/3/23,A-E,4601-002,Law and Society ACP,5
SDUNT255,3/3/23,A-E,5611-003,Data Science H,5
SDUNT181,3/3/23,A-E,1231-005,American Studies (English) ACP,5
SDUNT269,3/3/23,A-E,1201-006,English 11 H,5
SDUNT074,3/3/23,A-E,0331-011,Career Wellness,5
SDUNT376,3/3/23,A,1301-002,AP English 12,5
SDUNT185,3/3/23,A-E,1311-003,Philosophy as Literature H,5
SDUNT381,3/3/23,A,4481-001,Modern America H,5
SDUNT318,3/3/23,A-E,5031-008,Math 3 (Pre-Calculus) H,5
SDUNT576,3/3/23,A-E,4501-006,AP Psychology,5
SDUNT503,3/3/23,A-E,1371-006,Art and Technique of Film ACP,5
SDUNT527,3/3/23,A-E,1201-006,English 11 H,5
SDUNT125,3/3/23,A-E,2641-001,Italian 4 H,5
SDUNT352,3/3/23,A-E,0031-011,Fitness Indoor,5
SDUNT586,3/3/23,A-E,1211-006,American Studies (English) H,5
SDUNT035,3/3/23,A-E,4601-002,Law and Society ACP,5
SDUNT084,3/3/23,A-E,2441-003,Spanish 4 ACP,5
SDUNT626,3/3/23,A-E,3131-014,Academic Study,5
SDUNT491,3/3/23,A-E,7051-001,Ceramics Minor 1,5
SDUNT577,3/3/23,A-E,8091-001,Wind Ensemble H,5
SDUNT088,3/3/23,A-E,6011-012,Biology Lab H,5
SDUNT089,3/3/23,A-E,1361-004,Art and Technique of Film H,5
SDUNT356,3/3/23,A-E,0261-002,Dance in Action,5
SDUNT193,3/3/23,A-E,4501-006,AP Psychology,5
SDUNT357,3/3/23,A-E,0331-011,Career Wellness,5
SDUNT496,3/3/23,A-E,4601-002,Law and Society ACP,5
SDUNT507,3/3/23,A-E,1361-004,Art and Technique of Film H,5
SDUNT462,3/3/23,A,8601-004,Entrepreneurship,5
SDUNT596,3/3/23,A-E,6371-001,Forensics Lab ACP,5
SDUNT299,3/3/23,A,3131-030,Academic Study,5
SDUNT582,3/3/23,A-E,0261-002,Dance in Action,5
SDUNT327,3/2/23,T,5081-004,AP Calculus 4 AB,1
SDUNT056,3/2/23,A-E,1231-001,American Studies (English) ACP,1
SDUNT438,3/2/23,A-E,13141-001,Philosophy as Literature ACP,1
SDUNT331,3/2/23,T,5081-004,AP Calculus 4 AB,1
SDUNT136,3/2/23,T,1361-003,Art and Technique of Film H,1
SDUNT217,3/2/23,T,6071-001,AP Physics Lab,1
SDUNT007,3/2/23,T,2431-001,Spanish 3 ACP,1
SDUNT284,3/2/23,A,2471-001,Spanish 4 H,1
SDUNT380,3/2/23,A-E,2961-001,AP Chinese,1
SDUNT059,3/2/23,A-E,1231-001,American Studies (English) ACP,1
SDUNT225,3/2/23,A,6071-001,AP Physics Lab,1
SDUNT442,3/2/23,T,6011-007,Biology Lab H,1
SDUNT139,3/2/23,T,5081-004,AP Calculus 4 AB,1
SDUNT176,3/2/23,T,1361-003,Art and Technique of Film H,1
SDUNT338,3/2/23,T,5081-004,AP Calculus 4 AB,1
SDUNT227,3/2/23,T,6071-001,AP Physics Lab,1
SDUNT177,3/2/23,T,6031-002,Physics Lab H,1
SDUNT572,3/2/23,T,6071-001,AP Physics Lab,1
SDUNT061,3/2/23,T,6071-001,AP Physics Lab,1
SDUNT285,3/2/23,T,1311-001,Philosophy as Literature H,1
SDUNT062,3/2/23,T,6111-008,Biology Lab ACP,1
SDUNT229,3/2/23,A-E,6011-007,Biology Lab H,1
SDUNT397,3/2/23,T,1291-003,AP English 11,1
SDUNT311,3/2/23,A-E,7191-002,Photography Major 2 H,1
SDUNT252,3/2/23,T,1311-001,Philosophy as Literature H,1
SDUNT343,3/2/23,T,13141-001,Philosophy as Literature ACP,1
SDUNT142,3/2/23,T,6071-001,AP Physics Lab,1
SDUNT181,3/2/23,T,6011-007,Biology Lab H,1
SDUNT075,3/2/23,A-E,4311-002,U.S. History ACP,1
SDUNT122,3/2/23,A-E,2141-001,French 4 ACP,1
SDUNT604,3/2/23,A-E,3131-021,Academic Study,1
SDUNT488,3/2/23,T,1361-003,Art and Technique of Film H,1
SDUNT029,3/2/23,T,1361-003,Art and Technique of Film H,1
SDUNT503,3/2/23,A-E,6071-001,AP Physics Lab,1
SDUNT605,3/2/23,T,1361-003,Art and Technique of Film H,1
SDUNT204,3/2/23,A-E,5041-004,AP Calculus 4 BC,1
SDUNT452,3/2/23,T,4401-001,AP European History,1
SDUNT586,3/2/23,A,5051-003,AP Statistics,1
SDUNT084,3/2/23,T,6011-001,Biology Lab H,1
SDUNT145,3/2/23,T,1361-003,Art and Technique of Film H,1
SDUNT626,3/2/23,A-E,5031-001,Math 3 (Pre-Calculus) H,1
SDUNT189,3/2/23,A-E,5031-001,Math 3 (Pre-Calculus) H,1
SDUNT418,3/2/23,A-E,4311-002,U.S. History ACP,1
SDUNT353,3/2/23,A-E,5081-004,AP Calculus 4 AB,1
SDUNT291,3/2/23,A,5051-003,AP Statistics,1
SDUNT579,3/2/23,T,6071-001,AP Physics Lab,1
SDUNT242,3/2/23,T,1501-001,Horror & SciFi Literature ACP,1
SDUNT454,3/2/23,A-E,1201-002,English 11 H,1
SDUNT355,3/2/23,A-E,5081-004,AP Calculus 4 AB,1
SDUNT615,3/2/23,A-E,4301-001,AP US History,1
SDUNT455,3/2/23,A-E,2441-005,Spanish 4 ACP,1
SDUNT087,3/2/23,T,6011-001,Biology Lab H,1
SDUNT088,3/2/23,A-E,5031-001,Math 3 (Pre-Calculus) H,1
SDUNT356,3/2/23,T,1311-001,Philosophy as Literature H,1
SDUNT046,3/2/23,T,7131-001,AP History of Art,1
SDUNT358,3/2/23,A-E,9601-003,Mechanical & Structural Engineering ACP,1
SDUNT172,3/2/23,A-E,1201-002,English 11 H,1
SDUNT507,3/2/23,A-E,5041-004,AP Calculus 4 BC,1
SDUNT050,3/2/23,A,5051-003,AP Statistics,1
SDUNT361,3/2/23,T,1361-003,Art and Technique of Film H,1
SDUNT103,3/2/23,A-E,91741-001,Drafting: Architectural Major 3 H,1
SDUNT363,3/2/23,T,5081-004,AP Calculus 4 AB,1
SDUNT597,3/2/23,A-E,3131-005,Academic Study,1
SDUNT378,3/2/23,A-E,5041-004,AP Calculus 4 BC,1
SDUNT199,3/2/23,T,5081-004,AP Calculus 4 AB,1
SDUNT582,3/2/23,A-E,5051-003,AP Statistics,1
SDUNT466,3/2/23,A-E,6071-001,AP Physics Lab,1
SDUNT369,3/2/23,T,5081-004,AP Calculus 4 AB,1
SDUNT434,3/2/23,A-E,9341-001,Graphic Comm Major 1 ACP,1
SDUNT632,3/2/23,T,6011-001,Biology Lab H,1
SDUNT056,3/2/23,A-E,5031-004,Math 3 (Pre-Calculus) H,2
SDUNT438,3/2/23,A-E,6371-002,Forensics Lab ACP,2
SDUNT216,3/2/23,A,8121-001,Music Theory ACP,2
SDUNT010,3/2/23,A-E,2451-002,Spanish 5 ACP,2
SDUNT380,3/2/23,A-E,6141-020,Introductory Physics Lab ACP,2
SDUNT394,3/2/23,T,6011-011,Biology Lab H,2
SDUNT338,3/2/23,A,2451-002,Spanish 5 ACP,2
SDUNT229,3/2/23,A-E,1401-001,Women in Literature and Society H,2
SDUNT311,3/2/23,A-E,6011-011,Biology Lab H,2
SDUNT450,3/2/23,T,1211-004,American Studies (English) H,2
SDUNT075,3/2/23,A-E,2441-004,Spanish 4 ACP,2
SDUNT376,3/2/23,T,4501-001,AP Psychology,2
SDUNT604,3/2/23,A-E,5141-001,Intro to Calculus ACP Acc,2
SDUNT576,3/2/23,A-E,7111-001,Art Major 4 H,2
SDUNT586,3/2/23,A,6011-011,Biology Lab H,2
SDUNT626,3/2/23,A-E,4381-004,American Studies (History) H,2
SDUNT189,3/2/23,A-E,1201-003,English 11 H,2
SDUNT415,3/2/23,T,1291-002,AP English 11,2
SDUNT416,3/2/23,T,1291-002,AP English 11,2
SDUNT355,3/2/23,A-E,2451-002,Spanish 5 ACP,2
SDUNT615,3/2/23,A-E,1201-003,English 11 H,2
SDUNT455,3/2/23,T,1231-004,American Studies (English) ACP,2
SDUNT088,3/2/23,A-E,4381-004,American Studies (History) H,2
SDUNT617,3/2/23,T,1361-001,Art and Technique of Film H,2
SDUNT512,3/2/23,A,4311-003,U.S. History ACP,2
SDUNT172,3/2/23,A-E,5131-002,Math 3 ACP Accelerated (Pre-Calculus),2
SDUNT507,3/2/23,A-E,6051-002,AP Biology Lab,2
SDUNT050,3/2/23,A,90641-001,Culinary Arts Major 2 H,2
SDUNT103,3/2/23,A-E,91741-001,Drafting: Architectural Major 3 H,2
SDUNT597,3/2/23,A-E,4501-001,AP Psychology,2
SDUNT582,3/2/23,A-E,6371-002,Forensics Lab ACP,2
SDUNT434,3/2/23,A-E,1291-002,AP English 11,2
SDUNT056,3/2/23,A-E,6011-012,Biology Lab H,3
SDUNT590,3/2/23,T,2321-002,Novice Spanish 2 ACP,3
SDUNT380,3/2/23,A-E,1831-001,ELL 4 Expanding English,3
SDUNT229,3/2/23,A-E,5531-002,Computer Science Principles H,3
SDUNT179,3/2/23,T,4481-001,Modern America H,3
SDUNT311,3/2/23,A-E,4301-002,AP US History,3
SDUNT342,3/2/23,A,2321-002,Novice Spanish 2 ACP,3
SDUNT254,3/2/23,T,4391-008,American Studies (History) ACP,3
SDUNT018,3/2/23,T,2471-002,Spanish 4 H,3
SDUNT312,3/2/23,A-E,4301-002,AP US History,3
SDUNT075,3/2/23,A-E,5131-006,Math 3 ACP Accelerated (Pre-Calculus),3
SDUNT604,3/2/23,A-E,1311-003,Philosophy as Literature H,3
SDUNT576,3/2/23,A-E,4501-006,AP Psychology,3
SDUNT503,3/2/23,T,1371-006,Art and Technique of Film ACP,3
SDUNT187,3/2/23,A-E,1291-001,AP English 11,3
SDUNT452,3/2/23,T,1361-004,Art and Technique of Film H,3
SDUNT586,3/2/23,A,1211-006,American Studies (English) H,3
SDUNT626,3/2/23,A-E,3131-014,Academic Study,3
SDUNT189,3/2/23,A-E,2471-002,Spanish 4 H,3
SDUNT355,3/2/23,A-E,1301-002,AP English 12,3
SDUNT615,3/2/23,A-E,5031-008,Math 3 (Pre-Calculus) H,3
SDUNT494,3/2/23,A-E,5531-002,Computer Science Principles H,3
SDUNT045,3/2/23,A-E,1311-003,Philosophy as Literature H,3
SDUNT427,3/2/23,D-E,80911-001,Wind Ensemble H - Quarter,3
SDUNT172,3/2/23,A-E,8601-004,Entrepreneurship,3
SDUNT507,3/2/23,A-E,1361-004,Art and Technique of Film H,3
SDUNT103,3/2/23,A-E,6071-003,AP Physics Lab,3
SDUNT597,3/2/23,A-E,7091-001,Art Major 2 ACP,3
SDUNT582,3/2/23,A-E,0261-002,Dance in Action,3
SDUNT055,3/2/23,A,2441-003,Spanish 4 ACP,3
SDUNT434,3/2/23,A-E,6111-001,Biology Lab ACP,3
SDUNT056,3/2/23,A-E,4381-001,American Studies (History) H,4
SDUNT475,3/2/23,A-E,1361-002,Art and Technique of Film H,4
SDUNT438,3/2/23,A-E,5051-006,AP Statistics,4
SDUNT331,3/2/23,A,5531-001,Computer Science Principles H,4
SDUNT218,3/2/23,A-E,0031-007,Fitness Indoor,4
SDUNT380,3/2/23,A-E,5031-003,Math 3 (Pre-Calculus) H,4
SDUNT583,3/2/23,T,5141-002,Intro to Calculus ACP Acc,4
SDUNT394,3/2/23,A-E,2441-006,Spanish 4 ACP,4
SDUNT483,3/2/23,A-E,8551-002,Accounting 1 ACP,4
SDUNT229,3/2/23,A-E,8051-001,Symphony Orchestra-Strings ACP,4
SDUNT311,3/2/23,A-E,2041-001,French 4 H,4
SDUNT162,3/2/23,A-E,1371-003,Art and Technique of Film ACP,4
SDUNT450,3/2/23,T,2441-006,Spanish 4 ACP,4
SDUNT075,3/2/23,A-E,6011-006,Biology Lab H,4
SDUNT487,3/2/23,A-E,1341-002,The Short Story H,4
SDUNT604,3/2/23,A-E,2431-004,Spanish 3 ACP,4
SDUNT576,3/2/23,A-E,1361-002,Art and Technique of Film H,4
SDUNT586,3/2/23,A,5031-009,Math 3 (Pre-Calculus) H,4
SDUNT086,3/2/23,T,6011-006,Biology Lab H,4
SDUNT615,3/2/23,A-E,6011-009,Biology Lab H,4
SDUNT094,3/2/23,T,4391-002,American Studies (History) ACP,4
SDUNT045,3/2/23,A-E,4501-004,AP Psychology,4
SDUNT194,3/2/23,A,1211-001,American Studies (English) H,4
SDUNT258,3/2/23,A-E,2051-001,AP French,4
SDUNT564,3/2/23,T,2441-006,Spanish 4 ACP,4
SDUNT172,3/2/23,A-E,6011-009,Biology Lab H,4
SDUNT507,3/2/23,A-E,98321-001,Design Visual Communication Major 3 ACP (Adj),4
SDUNT246,3/2/23,A,2451-001,Spanish 5 ACP,4
SDUNT103,3/2/23,A-E,1301-001,AP English 12,4
SDUNT597,3/2/23,A-E,5141-002,Intro to Calculus ACP Acc,4
SDUNT582,3/2/23,A-E,2151-002,French 5 ACP,4
SDUNT434,3/2/23,A-E,0301-002,Lifetime Activities Indoor,4
SDUNT474,3/2/23,A,0001W1-001,WIN,5
SDUNT056,3/2/23,A-E,0001W1-001,WIN,5
SDUNT514,3/2/23,A-E,0001W1-001,WIN,5
SDUNT002,3/2/23,A,0001W1-001,WIN,5
SDUNT475,3/2/23,A-E,0001W1-001,WIN,5
SDUNT280,3/2/23,A,0001W1-001,WIN,5
SDUNT477,3/2/23,A,0001W1-001,WIN,5
SDUNT438,3/2/23,A-E,0001W1-001,WIN,5
SDUNT479,3/2/23,A-E,0001W1-001,WIN,5
SDUNT331,3/2/23,A,0001W1-001,WIN,5
SDUNT516,3/2/23,A,0001W1-001,WIN,5
SDUNT006,3/2/23,A,0001W1-001,WIN,5
SDUNT282,3/2/23,T,0001W1-001,WIN,5
SDUNT218,3/2/23,A-E,0001W1-001,WIN,5
SDUNT371,3/2/23,T,0001W1-001,WIN,5
SDUNT137,3/2/23,A-E,0001W1-001,WIN,5
SDUNT380,3/2/23,A-E,0001W1-001,WIN,5
SDUNT336,3/2/23,A,0001W1-001,WIN,5
SDUNT443,3/2/23,A,0001W1-001,WIN,5
SDUNT482,3/2/23,A,0001W1-001,WIN,5
SDUNT483,3/2/23,A-E,0001W1-001,WIN,5
SDUNT176,3/2/23,A,0001W1-001,WIN,5
SDUNT227,3/2/23,A,0001W1-001,WIN,5
SDUNT340,3/2/23,A,0001W1-001,WIN,5
SDUNT341,3/2/23,A,0001W1-001,WIN,5
SDUNT285,3/2/23,A,0001W1-001,WIN,5
SDUNT229,3/2/23,A-E,0001W1-001,WIN,5
SDUNT311,3/2/23,A-E,0001W1-001,WIN,5
SDUNT342,3/2/23,A,0001W1-001,WIN,5
SDUNT254,3/2/23,A,0001W1-001,WIN,5
SDUNT018,3/2/23,A,0001W1-001,WIN,5
SDUNT162,3/2/23,A-E,0001W1-001,WIN,5
SDUNT485,3/2/23,A-E,0001W1-001,WIN,5
SDUNT312,3/2/23,A-E,0001W1-001,WIN,5
SDUNT287,3/2/23,A-E,0001W1-001,WIN,5
SDUNT120,3/2/23,A,0001W1-001,WIN,5
SDUNT075,3/2/23,A-E,0001W1-001,WIN,5
SDUNT487,3/2/23,A,0001W1-001,WIN,5
SDUNT502,3/2/23,A,0001W1-001,WIN,5
SDUNT027,3/2/23,A,0001W1-001,WIN,5
SDUNT182,3/2/23,A,0001W1-001,WIN,5
SDUNT604,3/2/23,A-E,0001W1-001,WIN,5
SDUNT028,3/2/23,A,0001W1-001,WIN,5
SDUNT576,3/2/23,A-E,0001W1-001,WIN,5
SDUNT605,3/2/23,A,0001W1-001,WIN,5
SDUNT187,3/2/23,A-E,0001W1-001,WIN,5
SDUNT082,3/2/23,A,0001W1-001,WIN,5
SDUNT586,3/2/23,A,0001W1-001,WIN,5
SDUNT035,3/2/23,A,0001W1-001,WIN,5
SDUNT607,3/2/23,A,0001W1-001,WIN,5
SDUNT626,3/2/23,A-E,0001W1-001,WIN,5
SDUNT189,3/2/23,A-E,0001W1-001,WIN,5
SDUNT189,3/2/23,A-E,3341-040,Peer Tutoring,5
SDUNT147,3/2/23,T,0001W1-001,WIN,5
SDUNT290,3/2/23,A,0001W1-001,WIN,5
SDUNT291,3/2/23,A,0001W1-001,WIN,5
SDUNT036,3/2/23,A,0001W1-001,WIN,5
SDUNT453,3/2/23,A,0001W1-001,WIN,5
SDUNT492,3/2/23,A,0001W1-001,WIN,5
SDUNT355,3/2/23,A-E,0001W1-001,WIN,5
SDUNT615,3/2/23,A-E,0001W1-001,WIN,5
SDUNT494,3/2/23,A-E,0001W1-001,WIN,5
SDUNT043,3/2/23,A-E,0001W1-001,WIN,5
SDUNT191,3/2/23,A,0001W1-001,WIN,5
SDUNT045,3/2/23,A-E,0001W1-001,WIN,5
SDUNT193,3/2/23,A,0001W1-001,WIN,5
SDUNT295,3/2/23,A-E,0001W1-001,WIN,5
SDUNT272,3/2/23,A-E,0001W1-001,WIN,5
SDUNT243,3/2/23,T,0001W1-001,WIN,5
SDUNT358,3/2/23,A,0001W1-001,WIN,5
SDUNT151,3/2/23,A,0001W1-001,WIN,5
SDUNT258,3/2/23,A-E,0001W1-001,WIN,5
SDUNT244,3/2/23,A,0001W1-001,WIN,5
SDUNT427,3/2/23,A-E,0001W1-001,WIN,5
SDUNT172,3/2/23,A-E,0001W1-001,WIN,5
SDUNT507,3/2/23,A-E,0001W1-001,WIN,5
SDUNT133,3/2/23,A,0001W1-001,WIN,5
SDUNT595,3/2/23,A,0001W1-001,WIN,5
SDUNT246,3/2/23,A,0001W1-001,WIN,5
SDUNT103,3/2/23,A-E,0001W1-001,WIN,5
SDUNT212,3/2/23,A,0001W1-001,WIN,5
SDUNT363,3/2/23,A,0001W1-001,WIN,5
SDUNT364,3/2/23,A,0001W1-001,WIN,5
SDUNT155,3/2/23,A,0001W1-001,WIN,5
SDUNT053,3/2/23,A,0001W1-001,WIN,5
SDUNT597,3/2/23,A-E,0001W1-001,WIN,5
SDUNT378,3/2/23,A,0001W1-001,WIN,5
SDUNT582,3/2/23,A-E,0001W1-001,WIN,5
SDUNT174,3/2/23,A,0001W1-001,WIN,5
SDUNT054,3/2/23,A-E,0001W1-001,WIN,5
SDUNT055,3/2/23,A,0001W1-001,WIN,5
SDUNT434,3/2/23,A-E,0001W1-001,WIN,5
SDUNT632,3/2/23,A,4781-002,One to One Mentoring,5
SDUNT338,3/2/23,A,0181-001,AM Lifeguard Training,7
SDUNT157,3/2/23,A,0181-001,AM Lifeguard Training,7
SDUNT327,3/1/23,A-E,4641-002,Digital Media & the Impact of the Internet H,1
SDUNT385,3/1/23,T,6061-001,AP Chemistry Lab,1
SDUNT056,3/1/23,T,6061-001,AP Chemistry Lab,1
SDUNT002,3/1/23,T,4421-001,Mid East & Latin Amr Honors,1
SDUNT329,3/1/23,T,4421-001,Mid East & Latin Amr Honors,1
SDUNT158,3/1/23,A,2481-002,AP Spanish,1
SDUNT280,3/1/23,A-E,0331-009,Career Wellness,1
SDUNT333,3/1/23,T,6071-004,AP Physics Lab,1
SDUNT011,3/1/23,T,6061-001,AP Chemistry Lab,1
SDUNT372,3/1/23,T,6061-001,AP Chemistry Lab,1
SDUNT539,3/1/23,A-E,1651-002,Journalism,1
SDUNT380,3/1/23,A-E,7151-007,Photography Minor 1,1
SDUNT060,3/1/23,A,5081-003,AP Calculus 4 AB,1
SDUNT202,3/1/23,T,4431-001,Mid East & Latin Amr ACP,1
SDUNT566,3/1/23,A-E,5121-003,Math 2 ACP Acc,1
SDUNT394,3/1/23,A-E,4311-001,U.S. History ACP,1
SDUNT443,3/1/23,T,5081-003,AP Calculus 4 AB,1
SDUNT338,3/1/23,A-E,5531-003,Computer Science Principles H,1
SDUNT227,3/1/23,T,6061-001,AP Chemistry Lab,1
SDUNT521,3/1/23,T,2431-005,Spanish 3 ACP,1
SDUNT285,3/1/23,T,4561-001,AP Comparative Government,1
SDUNT266,3/1/23,A-E,2441-001,Spanish 4 ACP,1
SDUNT140,3/1/23,T,4421-001,Mid East & Latin Amr Honors,1
SDUNT230,3/1/23,T,6071-004,AP Physics Lab,1
SDUNT311,3/1/23,A-E,1291-006,AP English 11,1
SDUNT484,3/1/23,T,6071-004,AP Physics Lab,1
SDUNT066,3/1/23,A-E,4641-002,Digital Media & the Impact of the Internet H,1
SDUNT448,3/1/23,T,6061-001,AP Chemistry Lab,1
SDUNT118,3/1/23,A-E,2441-001,Spanish 4 ACP,1
SDUNT524,3/1/23,T,2441-001,Spanish 4 ACP,1
SDUNT203,3/1/23,A-E,4421-001,Mid East & Latin Amr Honors,1
SDUNT312,3/1/23,A-E,1291-006,AP English 11,1
SDUNT022,3/1/23,T,4421-001,Mid East & Latin Amr Honors,1
SDUNT553,3/1/23,T,6061-001,AP Chemistry Lab,1
SDUNT623,3/1/23,T,6061-001,AP Chemistry Lab,1
SDUNT345,3/1/23,T,4421-001,Mid East & Latin Amr Honors,1
SDUNT074,3/1/23,T,2441-001,Spanish 4 ACP,1
SDUNT573,3/1/23,A-E,6071-004,AP Physics Lab,1
SDUNT604,3/1/23,A,0031-003,Fitness Indoor,1
SDUNT503,3/1/23,A,5531-003,Computer Science Principles H,1
SDUNT031,3/1/23,T,4421-001,Mid East & Latin Amr Honors,1
SDUNT167,3/1/23,A-E,2481-002,AP Spanish,1
SDUNT626,3/1/23,A-E,1211-003,American Studies (English) H,1
SDUNT189,3/1/23,A-E,5051-004,AP Statistics,1
SDUNT510,3/1/23,T,6021-012,Chemistry Lab H,1
SDUNT491,3/1/23,A,5081-003,AP Calculus 4 AB,1
SDUNT416,3/1/23,T,4311-001,U.S. History ACP,1
SDUNT239,3/1/23,A-E,5041-001,AP Calculus 4 BC,1
SDUNT353,3/1/23,A-E,6681-014,CL Aide Science,1
SDUNT291,3/1/23,A,4561-001,AP Comparative Government,1
SDUNT453,3/1/23,A-E,5081-003,AP Calculus 4 AB,1
SDUNT493,3/1/23,T,6071-004,AP Physics Lab,1
SDUNT190,3/1/23,A-E,5051-004,AP Statistics,1
SDUNT615,3/1/23,A-E,2431-003,Spanish 3 ACP,1
SDUNT169,3/1/23,A,2481-002,AP Spanish,1
SDUNT495,3/1/23,T,5081-003,AP Calculus 4 AB,1
SDUNT097,3/1/23,T,5131-005,Math 3 ACP Accelerated (Pre-Calculus),1
SDUNT358,3/1/23,A-E,4431-001,Mid East & Latin Amr ACP,1
SDUNT259,3/1/23,A-E,2831-001,Latin 3 H,1
SDUNT497,3/1/23,T,5081-003,AP Calculus 4 AB,1
SDUNT629,3/1/23,T,1211-003,American Studies (English) H,1
SDUNT211,3/1/23,T,5121-005,Math 2 ACP Acc,1
SDUNT132,3/1/23,A-E,7151-007,Photography Minor 1,1
SDUNT507,3/1/23,A-E,4501-005,AP Psychology,1
SDUNT462,3/1/23,A-E,5081-003,AP Calculus 4 AB,1
SDUNT050,3/1/23,A,90641-001,Culinary Arts Major 2 H,1
SDUNT052,3/1/23,T,6071-004,AP Physics Lab,1
SDUNT103,3/1/23,A-E,0331-009,Career Wellness,1
SDUNT248,3/1/23,A-E,4561-001,AP Comparative Government,1
SDUNT053,3/1/23,T,4421-001,Mid East & Latin Amr Honors,1
SDUNT157,3/1/23,T,6071-004,AP Physics Lab,1
SDUNT582,3/1/23,A-E,4501-005,AP Psychology,1
SDUNT431,3/1/23,T,6061-001,AP Chemistry Lab,1
SDUNT435,3/1/23,A,0001W1-001,WIN,2
SDUNT329,3/1/23,A,0001W1-001,WIN,2
SDUNT280,3/1/23,A-E,0001W1-001,WIN,2
SDUNT280,3/1/23,A-E,8401-001,CL Aide Civic Engagement,2
SDUNT438,3/1/23,A,0001W1-001,WIN,2
SDUNT478,3/1/23,A,0001W1-001,WIN,2
SDUNT201,3/1/23,A,0001W1-001,WIN,2
SDUNT216,3/1/23,A,0001W1-001,WIN,2
SDUNT220,3/1/23,A,0001W1-001,WIN,2
SDUNT138,3/1/23,A,0001W1-001,WIN,2
SDUNT539,3/1/23,A-E,0001W1-001,WIN,2
SDUNT380,3/1/23,A-E,0001W1-001,WIN,2
SDUNT265,3/1/23,A,0001W1-001,WIN,2
SDUNT060,3/1/23,A,0001W1-001,WIN,2
SDUNT566,3/1/23,A-E,0001W1-001,WIN,2
SDUNT394,3/1/23,A-E,0001W1-001,WIN,2
SDUNT176,3/1/23,A,0001W1-001,WIN,2
SDUNT338,3/1/23,A-E,0001W1-001,WIN,2
SDUNT061,3/1/23,A,0001W1-001,WIN,2
SDUNT341,3/1/23,A,0001W1-001,WIN,2
SDUNT285,3/1/23,A,0001W1-001,WIN,2
SDUNT445,3/1/23,A-E,0001W1-001,WIN,2
SDUNT063,3/1/23,A,0001W1-001,WIN,2
SDUNT064,3/1/23,A,0001W1-001,WIN,2
SDUNT311,3/1/23,A-E,0001W1-001,WIN,2
SDUNT448,3/1/23,A,0001W1-001,WIN,2
SDUNT118,3/1/23,A-E,0001W1-001,WIN,2
SDUNT203,3/1/23,A-E,0001W1-001,WIN,2
SDUNT312,3/1/23,A-E,0001W1-001,WIN,2
SDUNT070,3/1/23,A,0001W1-001,WIN,2
SDUNT023,3/1/23,A,0001W1-001,WIN,2
SDUNT142,3/1/23,A,0001W1-001,WIN,2
SDUNT604,3/1/23,A,0001W1-001,WIN,2
SDUNT288,3/1/23,A,0001W1-001,WIN,2
SDUNT028,3/1/23,A,0001W1-001,WIN,2
SDUNT029,3/1/23,T,0001W1-001,WIN,2
SDUNT605,3/1/23,A,0001W1-001,WIN,2
SDUNT204,3/1/23,A,0001W1-001,WIN,2
SDUNT471,3/1/23,A,0001W1-001,WIN,2
SDUNT167,3/1/23,A-E,0001W1-001,WIN,2
SDUNT626,3/1/23,A-E,0001W1-001,WIN,2
SDUNT189,3/1/23,A-E,0001W1-001,WIN,2
SDUNT491,3/1/23,A,0001W1-001,WIN,2
SDUNT239,3/1/23,A-E,0001W1-001,WIN,2
