,School Name,School Type,Town,Grade,% African American,% Asian,% Native American,"% Native Hawaiian, Pacific Islander","% Multi-Race, Non-Hispanic",% Males,% Females,Average Class Size,Number of Students,% Graduated,% Still in School,AP_Score=1,AP_Score=2,AP_Score=3,AP_Score=4,AP_Score=5,Average SAT_Reading,Average SAT_Writing,Average SAT_Math
869,Peter W Reilly,Public School,Lowell,"K,01,02,03,04",4.4,7.8,0.0,0.0,3.6,48.5,51.5,19.8,573.0,,,,,,,,,,
870,Pyne Arts,Public School,Lowell,"PK,K,01,02,03,04,05,06,07,08",6.0,13.1,0.0,0.0,3.8,53.6,46.4,18.0,501.0,,,,,,,,,,
871,Rogers STEM Academy,Public School,Lowell,"PK,K,01,02,03,04,05",9.4,23.9,0.0,0.0,4.1,53.0,47.0,18.2,466.0,,,,,,,,,,
872,S Christa McAuliffe Elementary,Public School,Lowell,"PK,K,01,02,03,04",5.3,11.6,0.0,0.0,3.3,48.4,51.6,18.0,525.0,,,,,,,,,,
873,The Career Academy,Public School,Lowell,"09,10,11,12",9.2,14.3,0.0,0.0,3.4,65.5,34.5,,,,,,,,,,,,
874,Washington,Public School,Lowell,"PK,K,01,02,03,04",5.0,47.7,0.0,0.0,7.0,55.8,44.2,15.5,278.0,,,,,,,,,,
875,Lowell Community Charter Public School,Charter School,Lowell,"PK,K,01,02,03,04,05,06,07,08",27.5,20.1,0.0,0.0,3.3,48.8,51.2,22.3,822.0,,,,,,,,,,
876,Lowell Middlesex Academy Charter School,Charter School,Lowell,"09,10,11,12",1.1,14.9,0.0,0.0,6.4,43.6,55.3,12.9,124.0,19.0,33.3,,,,,,,,
877,Chapin Street Elementary School,Public School,Ludlow,"02,03",0.9,0.3,0.9,0.0,2.6,46.0,54.0,16.2,377.0,,,,,,,,,,
878,East Street Elementary School,Public School,Ludlow,"PK,K,01",1.4,0.3,0.5,0.0,2.4,52.4,47.6,12.8,373.0,,,,,,,,,,
879,Ludlow Senior High,Public School,Ludlow,"09,10,11,12",2.0,0.6,0.2,0.0,1.9,49.5,50.5,14.6,886.0,94.4,2.6,26.0,53.0,87.0,37.0,17.0,499.0,490.0,505.0
880,Paul R Baird Middle,Public School,Ludlow,"06,07,08",1.9,0.6,0.3,0.0,2.3,48.5,51.5,18.2,668.0,,,,,,,,,,
881,Veterans Park Elementary,Public School,Ludlow,"04,05",3.0,0.0,0.5,0.0,3.0,56.3,43.7,19.0,402.0,,,,,,,,,,
882,Lunenburg High,Public School,Lunenburg,"09,10,11,12",3.2,4.3,0.5,0.2,1.4,48.3,51.7,15.3,538.0,93.7,4.2,8.0,57.0,55.0,48.0,27.0,533.0,505.0,525.0
883,Lunenburg Middle School,Public School,Lunenburg,"06,07,08",1.5,1.0,0.8,0.8,0.8,56.4,43.6,,,,,,,,,,,,
884,Lunenburg Primary School,Public School,Lunenburg,"PK,K,01,02",1.0,2.1,0.0,0.3,3.6,53.1,46.9,23.6,519.0,,,,,,,,,,
885,Turkey Hill Elementary School,Public School,Lunenburg,"03,04,05",1.0,1.3,0.8,0.8,2.5,50.8,49.3,,,,,,,,,,,,
886,A Drewicz Elementary,Public School,Lynn,"K,01,02,03,04,05",8.1,16.5,0.4,0.0,4.1,49.4,50.6,24.4,517.0,,,,,,,,,,
887,Aborn,Public School,Lynn,"K,01,02,03,04,05",15.8,5.4,0.8,0.0,8.1,47.9,52.1,21.6,261.0,,,,,,,,,,
888,Breed Middle School,Public School,Lynn,"06,07,08",9.9,11.0,0.5,0.0,3.4,52.3,47.7,22.5,1262.0,,,,,,,,,,
889,Brickett Elementary,Public School,Lynn,"01,02,03,04,05",10.6,12.1,0.4,0.0,5.7,51.1,48.9,20.4,287.0,,,,,,,,,,
890,Capt William G Shoemaker,Public School,Lynn,"PK,K,01,02,03,04,05",14.1,6.4,0.0,0.0,9.6,61.5,38.5,14.9,303.0,,,,,,,,,,
891,Classical High,Public School,Lynn,"09,10,11,12",11.9,11.7,0.2,0.1,2.4,52.9,47.1,19.9,1539.0,79.5,4.5,63.0,61.0,61.0,27.0,22.0,450.0,431.0,466.0
892,Cobbet Elementary,Public School,Lynn,"K,01,02,03,04,05",10.0,6.9,0.0,0.0,2.1,50.7,49.3,22.1,598.0,,,,,,,,,,
893,E J Harrington,Public School,Lynn,"PK,K,01,02,03,04,05",9.3,6.9,0.0,0.0,2.2,52.6,47.4,21.7,655.0,,,,,,,,,,
894,Early Childhood Center,Public School,Lynn,"PK,K,01,02,03,04,05",10.7,9.7,0.7,0.0,3.7,53.7,46.3,17.1,312.0,,,,,,,,,,
895,Edward A Sisson,Public School,Lynn,"K,01,02,03,04,05",6.6,10.5,0.9,0.0,5.0,53.5,46.5,22.4,454.0,,,,,,,,,,
896,Fecteau-Leary Junior/Senior High School,Public School,Lynn,"07,08,09,10,11,12",5.2,1.6,0.3,0.0,1.9,62.0,38.0,12.3,294.0,37.0,17.4,,,,,,,,
897,Hood,Public School,Lynn,"K,01,02,03,04,05",8.8,7.8,0.0,0.0,2.5,50.1,49.9,21.2,491.0,,,,,,,,,,
898,Ingalls,Public School,Lynn,"K,01,02,03,04,05",10.6,10.3,0.1,0.1,3.3,49.9,50.1,22.7,684.0,,,,,,,,,,
899,Julia F Callahan,Public School,Lynn,"PK,K,01,02,03,04,05",16.9,8.4,0.0,0.0,7.0,54.4,45.6,19.0,509.0,,,,,,,,,,
900,Lincoln-Thomson,Public School,Lynn,"K,01,02,03,04,05",6.5,10.1,0.0,0.0,7.7,50.0,50.0,23.1,258.0,,,,,,,,,,
901,Lynn English High,Public School,Lynn,"09,10,11,12",9.7,8.1,0.1,0.0,2.9,52.4,47.6,18.6,1681.0,77.3,7.0,103.0,59.0,51.0,35.0,8.0,449.0,440.0,455.0
902,Lynn Vocational Technical Institute,Public School,Lynn,"PK,06,09,10,11,12",8.6,6.0,0.2,0.0,2.5,57.9,42.1,15.8,895.0,78.5,15.1,28.0,8.0,5.0,2.0,1.0,423.0,398.0,439.0
903,Lynn Woods,Public School,Lynn,"K,01,02,03,04,05",1.2,2.5,1.8,0.0,11.0,49.1,50.9,20.2,166.0,,,,,,,,,,
904,Pickering Middle,Public School,Lynn,"06,07,08",7.0,9.7,0.8,0.0,5.0,52.4,47.6,21.1,618.0,,,,,,,,,,
905,Robert L Ford,Public School,Lynn,"01,02,03,04,05",6.9,7.5,0.2,0.0,2.4,51.2,48.8,24.5,517.0,,,,,,,,,,
906,Sewell-Anderson,Public School,Lynn,"K,01,02,03,04,05",8.7,4.9,0.0,0.0,3.5,57.3,42.7,17.2,278.0,,,,,,,,,,
907,Thurgood Marshall Mid,Public School,Lynn,"06,07,08",9.5,8.6,0.5,0.0,3.1,52.3,47.7,24.0,1105.0,,,,,,,,,,
908,Tracy,Public School,Lynn,"01,02,03,04,05",9.9,6.1,0.0,0.0,4.7,49.3,50.7,25.6,440.0,,,,,,,,,,
909,Washington Elementary School,Public School,Lynn,"K,01,02,03,04,05",12.0,6.2,0.2,0.0,3.4,49.8,50.2,22.2,449.0,,,,,,,,,,
910,William R Fallon,Public School,Lynn,"K,01,02,03,04,05,06",10.4,2.1,0.0,0.0,2.1,89.6,10.4,6.6,57.0,,,,,,,,,,
911,Wm P Connery,Public School,Lynn,"PK,K,01,02,03,04,05",6.0,13.3,0.0,0.0,2.9,50.6,49.4,24.4,634.0,,,,,,,,,,
912,Huckleberry Hill,Public School,Lynnfield,"K,01,02,03,04",1.7,9.7,0.0,0.0,2.9,46.0,54.0,20.7,414.0,,,,,,,,,,
913,Lynnfield High,Public School,Lynnfield,"09,10,11,12",2.1,3.0,0.0,0.0,1.3,48.9,51.1,16.4,643.0,98.8,0.0,18.0,50.0,98.0,92.0,74.0,530.0,541.0,547.0
914,Lynnfield Middle School,Public School,Lynnfield,"05,06,07,08",1.3,3.7,0.0,0.0,2.4,51.1,48.9,18.8,700.0,,,,,,,,,,
915,Lynnfield Preschool,Public School,Lynnfield,PK,0.0,4.3,0.0,0.0,8.5,55.3,44.7,12.5,49.0,,,,,,,,,,
916,Summer Street,Public School,Lynnfield,"K,01,02,03,04",2.4,4.3,0.0,0.0,0.7,58.7,41.3,20.8,437.0,,,,,,,,,,
917,MATCH Charter Public School,Charter School,Boston,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12",45.9,1.3,0.5,0.1,1.9,47.7,52.3,26.5,1032.0,63.9,32.8,44.0,52.0,36.0,17.0,11.0,435.0,433.0,504.0
918,Ma Academy for Math and Science School,Public School,Worcester,"11,12",1.0,42.3,0.0,0.0,4.1,54.6,45.4,16.3,49.0,100.0,0.0,0.0,4.0,12.0,24.0,29.0,703.0,688.0,741.0
919,Beebe,Public School,Malden,"K,01,02,03,04,05,06,07,08",14.5,37.5,0.1,0.2,4.1,48.9,51.1,23.3,900.0,,,,,,,,,,
920,Ferryway,Public School,Malden,"K,01,02,03,04,05,06,07,08",20.8,19.0,0.3,0.0,4.6,49.1,50.9,24.4,947.0,,,,,,,,,,
921,Forestdale,Public School,Malden,"K,01,02,03,04,05,06,07,08",19.4,9.6,0.0,0.3,5.0,50.7,49.3,18.2,568.0,,,,,,,,,,
922,Linden,Public School,Malden,"K,01,02,03,04,05,06,07,08",20.7,21.9,0.3,0.0,3.9,53.2,46.8,18.1,893.0,,,,,,,,,,
923,Malden Early Learning Center,Public School,Malden,PK,14.0,37.5,0.0,0.0,5.4,55.5,44.5,16.4,361.0,,,,,,,,,,
924,Malden High,Public School,Malden,"09,10,11,12",21.2,23.4,0.4,0.1,3.4,50.6,49.4,19.1,1811.0,84.5,7.4,254.0,255.0,224.0,99.0,39.0,455.0,444.0,507.0
925,Salemwood,Public School,Malden,"K,01,02,03,04,05,06,07,08",22.8,19.3,0.2,0.0,3.2,52.0,48.0,22.1,1247.0,,,,,,,,,,
926,Essex Elementary,Public School,Essex,"K,01,02,03,04,05",0.0,0.4,0.0,0.0,2.7,50.2,49.8,20.1,249.0,,,,,,,,,,
927,Manchester Essex Regional High School,Public School,Manchester,"09,10,11,12",0.2,0.7,0.0,0.0,0.5,43.9,56.1,13.4,433.0,97.4,0.9,9.0,29.0,59.0,89.0,96.0,595.0,582.0,601.0
928,Manchester Essex Regional Middle School,Public School,Manchester,"06,07,08",0.0,2.1,0.0,0.0,0.8,51.3,48.7,20.1,387.0,,,,,,,,,,
929,Manchester Memorial Elementary,Public School,Manchester,"PK,K,01,02,03,04,05",0.3,0.0,0.0,0.0,0.6,51.8,48.2,19.1,381.0,,,,,,,,,,
930,Everett W Robinson,Public School,Mansfield,"K,01,02",3.0,7.7,0.1,0.0,4.8,53.2,46.8,20.7,721.0,,,,,,,,,,
931,Harold L Qualters Middle,Public School,Mansfield,"06,07,08",2.9,4.9,0.0,0.0,4.0,51.8,48.2,18.7,1050.0,,,,,,,,,,
932,Jordan/Jackson Elementary,Public School,Mansfield,"03,04,05",3.4,5.9,0.1,0.0,2.0,53.2,46.8,22.7,862.0,,,,,,,,,,
933,Mansfield High,Public School,Mansfield,"09,10,11,12",2.5,3.6,0.3,0.2,2.2,49.4,50.6,14.3,1326.0,97.8,1.0,5.0,39.0,126.0,128.0,103.0,541.0,537.0,566.0
934,Roland Green School,Public School,Mansfield,PK,4.7,9.3,0.0,0.0,4.7,54.7,45.3,17.8,107.0,,,,,,,,,,
935,Elbridge Gerry,Public School,Marblehead,"K,01",0.7,2.0,0.0,0.7,2.7,54.4,45.6,18.5,149.0,,,,,,,,,,
936,Glover,Public School,Marblehead,"PK,K,01,02,03",1.2,1.5,0.0,0.0,2.9,56.6,43.4,18.3,360.0,,,,,,,,,,
937,L H Coffin,Public School,Marblehead,"02,03",1.2,3.0,0.0,0.0,5.4,50.9,49.1,21.4,178.0,,,,,,,,,,
938,Malcolm L Bell,Public School,Marblehead,"K,01,02,03",2.6,2.2,0.0,0.0,3.7,55.4,44.6,19.1,288.0,,,,,,,,,,
939,Marblehead High,Public School,Marblehead,"09,10,11,12",3.7,1.6,0.1,0.0,1.4,46.1,53.9,14.2,1060.0,95.8,2.3,19.0,63.0,147.0,184.0,155.0,563.0,565.0,564.0
940,Marblehead Veterans Middle School,Public School,Marblehead,"07,08",2.6,1.2,0.0,0.0,2.8,47.5,52.5,19.3,508.0,,,,,,,,,,
941,Village School,Public School,Marblehead,"04,05,06",4.0,1.3,0.3,0.0,2.5,52.8,47.2,25.1,676.0,,,,,,,,,,
942,Marblehead Community Charter Public School,Charter School,Marblehead,"04,05,06,07,08",2.6,2.6,0.9,0.0,1.7,57.4,42.6,19.5,230.0,,,,,,,,,,
943,Sippican,Public School,Marion,"PK,K,01,02,03,04,05,06",2.4,1.7,0.2,0.0,6.1,51.5,48.5,19.4,466.0,,,,,,,,,,
944,1 LT Charles W. Whitcomb School,Public School,Marlborough,"05,06,07,08",2.9,2.8,0.0,0.0,3.7,51.8,48.2,17.4,1355.0,,,,,,,,,,
945,Charles Jaworek School,Public School,Marlborough,"K,01,02,03,04",2.3,7.4,0.5,0.0,1.8,51.6,48.4,23.8,813.0,,,,,,,,,,
946,Early Childhood Center,Public School,Marlborough,PK,6.1,15.9,0.0,0.0,4.9,57.9,42.1,11.8,175.0,,,,,,,,,,
947,Francis J Kane,Public School,Marlborough,"K,01,02,03,04",5.0,2.3,0.0,0.0,3.1,52.7,47.3,21.6,650.0,,,,,,,,,,
948,Marlborough High,Public School,Marlborough,"09,10,11,12",3.3,3.8,0.1,0.0,1.3,51.1,48.9,13.5,1138.0,87.0,6.9,156.0,143.0,125.0,65.0,32.0,498.0,479.0,523.0
949,Richer,Public School,Marlborough,"K,01,02,03,04",4.2,2.5,0.2,0.0,4.0,49.6,50.4,19.9,558.0,,,,,,,,,,
950,Daniel Webster,Public School,Marshfield,"PK,K,01,02,03,04,05",0.5,1.8,0.3,0.8,1.3,49.6,50.4,17.8,408.0,,,,,,,,,,
951,Eames Way School,Public School,Marshfield,"K,01,02,03,04,05",0.0,0.0,0.0,0.0,2.0,61.8,38.2,20.8,250.0,,,,,,,,,,
952,Furnace Brook Middle,Public School,Marshfield,"06,07,08",0.1,1.0,0.1,0.1,1.2,52.7,47.3,18.9,1039.0,,,,,,,,,,
953,Gov Edward Winslow,Public School,Marshfield,"K,01,02,03,04,05",0.5,0.2,0.0,0.0,3.1,49.6,50.4,19.5,429.0,,,,,,,,,,
954,Marshfield High,Public School,Marshfield,"09,10,11,12",0.9,0.8,0.2,0.1,0.7,49.8,50.2,18.2,1335.0,97.1,1.0,22.0,70.0,117.0,87.0,36.0,518.0,512.0,520.0
955,Martinson Elementary,Public School,Marshfield,"PK,K,01,02,03,04,05",0.5,2.9,0.9,0.0,1.6,50.9,49.1,19.3,485.0,,,,,,,,,,
956,South River,Public School,Marshfield,"K,01,02,03,04,05",0.6,0.3,0.0,0.0,3.6,50.7,49.3,19.8,356.0,,,,,,,,,,
957,Martha's Vineyard Regional High,Public School,Oak Bluffs,"09,10,11,12",3.3,1.2,1.8,0.2,4.5,52.2,47.8,12.0,660.0,92.3,3.6,9.0,50.0,74.0,44.0,18.0,531.0,510.0,527.0
958,Martha's Vineyard Charter School,Charter School,West Tisbury,"K,01,02,03,04,05,06,07,08,09,10,11,12",4.6,1.7,0.0,0.0,11.0,43.4,56.6,17.5,184.0,100.0,0.0,,,,,,,,
959,Martin Luther King Jr. Charter School of Excellence,Charter School,Springfield,"K,01,02,03,04,05",41.8,1.9,0.0,0.0,5.5,51.1,48.9,19.8,357.0,,,,,,,,,,
960,Masconomet Regional High School,Public School,Boxford,"09,10,11,12",0.3,3.1,0.3,0.0,1.2,49.8,50.2,15.8,1268.0,97.5,1.1,21.0,62.0,137.0,170.0,113.0,549.0,547.0,567.0
961,Masconomet Regional Middle School,Public School,Boxford,"07,08",0.5,3.7,0.2,0.2,2.5,47.1,52.9,20.4,658.0,,,,,,,,,,
962,Kenneth Coombs School,Public School,Mashpee,"PK,K,01,02",4.1,2.2,8.0,0.3,7.6,51.6,48.4,19.1,450.0,,,,,,,,,,
963,Mashpee High,Public School,Mashpee,"09,10,11,12",3.6,1.7,5.1,0.0,5.8,54.5,45.5,11.4,429.0,90.2,4.9,31.0,86.0,57.0,43.0,8.0,501.0,477.0,492.0
964,Mashpee Middle School,Public School,Mashpee,"07,08",4.0,2.2,5.8,0.4,2.9,50.2,49.8,15.3,277.0,,,,,,,,,,
965,Quashnet School,Public School,Mashpee,"03,04,05,06",3.2,2.4,7.1,0.0,5.7,49.4,50.6,17.6,512.0,,,,,,,,,,
966,Center,Public School,Mattapoisett,"PK,K,01,02,03",0.9,1.7,0.0,0.0,3.4,51.9,48.1,15.5,254.0,,,,,,,,,,
967,Old Hammondtown,Public School,Mattapoisett,"04,05,06",1.9,1.9,0.0,0.0,3.8,55.7,44.3,20.0,233.0,,,,,,,,,,
968,Fowler School,Public School,Maynard,"04,05,06,07",2.5,1.8,0.2,0.0,2.8,52.2,47.8,18.5,443.0,,,,,,,,,,
969,Green Meadow,Public School,Maynard,"PK,K,01,02,03",1.6,1.2,0.0,0.0,6.2,52.2,47.8,19.9,528.0,,,,,,,,,,
970,Maynard High,Public School,Maynard,"08,09,10,11,12",4.8,3.8,0.2,0.0,3.2,49.2,50.8,16.4,499.0,88.4,1.2,11.0,33.0,52.0,19.0,20.0,540.0,524.0,546.0
971,Dale Street,Public School,Medfield,"04,05",0.8,3.5,0.5,0.0,4.1,52.0,48.0,18.2,396.0,,,,,,,,,,
972,Medfield Senior High,Public School,Medfield,"09,10,11,12",1.1,5.5,0.0,0.2,2.3,50.2,49.8,16.6,864.0,98.3,0.9,51.0,96.0,165.0,178.0,84.0,553.0,558.0,587.0
973,Memorial School,Public School,Medfield,"PK,K,01",1.9,3.6,0.2,0.0,2.9,52.0,48.0,20.7,405.0,,,,,,,,,,
974,Ralph Wheelock School,Public School,Medfield,"02,03",0.9,2.6,0.9,0.0,2.3,54.9,45.1,20.0,349.0,,,,,,,,,,
975,Thomas Blake Middle,Public School,Medfield,"06,07,08",0.6,4.3,0.2,0.0,3.2,50.0,50.0,17.9,628.0,,,,,,,,,,
976,Brooks School,Public School,Medford,"PK,K,01,02,03,04,05",8.7,4.4,0.0,0.0,6.0,52.5,47.5,,,,,,,,,,,,
977,Christopher Columbus,Public School,Medford,"PK,K,01,02,03,04,05",20.4,5.4,0.0,0.0,4.7,52.3,47.7,,,,,,,,,,,,
978,Curtis-Tufts,Public School,Medford,"09,10,11,12",22.7,4.5,0.0,0.0,4.5,72.7,27.3,,,0.0,77.8,,,,,,,,
979,John J McGlynn Elementary School,Public School,Medford,"PK,K,01,02,03,04,05",13.8,13.8,1.1,0.0,6.8,48.5,51.5,,,,,,,,,,,,
980,John J. McGlynn Middle School,Public School,Medford,"06,07,08",15.3,12.6,0.4,0.0,2.7,52.7,47.3,,,,,,,,,,,,
981,Madeleine Dugger Andrews,Public School,Medford,"06,07,08",8.9,5.1,0.0,0.2,4.5,52.4,47.6,,,,,,,,,,,,
982,Medford High,Public School,Medford,"PK,09,10,11,12",17.1,10.2,0.2,0.0,3.3,48.0,52.0,,,83.9,8.8,5.0,19.0,59.0,76.0,58.0,520.0,517.0,521.0
983,Medford Vocational Technical High,Public School,Medford,"09,10,11,12",14.8,1.6,0.0,0.0,2.3,65.0,35.0,,,84.5,8.5,,,,,,398.0,390.0,420.0
984,Milton Fuller Roberts,Public School,Medford,"PK,K,01,02,03,04,05",8.5,13.0,0.5,0.0,5.1,50.9,49.1,,,,,,,,,,,,
985,Burke/Memorial Elementary School,Public School,Medway,"02,03,04",1.4,2.4,0.0,0.0,3.8,46.9,53.1,21.0,508.0,,,,,,,,,,
986,John D Mc Govern Elementary,Public School,Medway,"PK,K,01",1.2,2.9,0.0,0.0,1.7,50.7,49.3,19.0,357.0,,,,,,,,,,
987,Medway High,Public School,Medway,"09,10,11,12",1.3,1.8,0.4,0.1,1.7,50.9,49.1,16.6,770.0,96.7,1.4,52.0,87.0,150.0,179.0,105.0,535.0,526.0,547.0
988,Medway Middle,Public School,Medway,"05,06,07,08",1.8,3.9,0.4,0.0,1.5,49.7,50.3,19.6,741.0,,,,,,,,,,
989,Early Childhood Center,Public School,Melrose,PK,2.1,3.8,0.0,0.0,8.6,52.8,47.2,14.6,306.0,,,,,,,,,,
990,Herbert Clark Hoover,Public School,Melrose,"K,01,02,03,04,05",2.4,4.8,0.0,0.0,5.6,51.4,48.6,21.1,252.0,,,,,,,,,,
991,Horace Mann,Public School,Melrose,"K,01,02,03,04,05",3.4,1.9,0.0,0.0,3.4,44.9,55.1,21.4,254.0,,,,,,,,,,
992,Lincoln,Public School,Melrose,"K,01,02,03,04,05",8.1,9.1,0.0,0.0,5.8,49.8,50.2,22.0,412.0,,,,,,,,,,
993,Melrose High,Public School,Melrose,"09,10,11,12",7.8,4.0,0.0,0.0,3.1,47.0,53.0,18.1,960.0,95.8,2.1,64.0,111.0,154.0,160.0,94.0,530.0,527.0,534.0
994,Melrose Middle,Public School,Melrose,"06,07,08",6.1,4.4,0.0,0.0,4.3,50.4,49.6,19.9,817.0,,,,,,,,,,
995,Roosevelt,Public School,Melrose,"K,01,02,03,04,05",6.1,5.1,0.0,0.0,4.9,51.7,48.3,21.6,411.0,,,,,,,,,,
996,Winthrop,Public School,Melrose,"K,01,02,03,04,05",5.6,2.7,0.0,0.0,3.8,52.0,48.0,21.5,359.0,,,,,,,,,,
997,Henry P Clough,Public School,Mendon,"PK,K,01,02,03,04",0.0,0.2,0.0,0.0,1.6,51.6,48.4,19.9,441.0,,,,,,,,,,
998,Memorial School,Public School,Upton,"PK,K,01,02,03,04",0.5,5.5,0.0,0.0,3.2,55.1,44.9,20.3,437.0,,,,,,,,,,
999,Miscoe Hill School,Public School,Mendon,"05,06,07,08",0.6,2.3,0.0,0.0,2.9,48.7,51.3,20.4,801.0,,,,,,,,,,
1000,Nipmuc Regional High,Public School,Upton,"09,10,11,12",1.0,2.0,0.0,0.0,2.2,46.0,54.0,13.6,614.0,94.5,2.4,30.0,52.0,76.0,96.0,59.0,529.0,514.0,544.0
1001,Comprehensive Grammar School,Public School,Methuen,"PK,K,01,02,03,04,05,06,07,08",1.0,6.0,0.0,0.1,4.0,49.5,50.5,21.2,1115.0,,,,,,,,,,
1002,Donald P Timony Grammar,Public School,Methuen,"PK,K,01,02,03,04,05,06,07,08",0.7,3.9,0.1,0.1,5.6,52.1,47.9,20.9,1349.0,,,,,,,,,,
1003,Marsh Grammar School,Public School,Methuen,"PK,K,01,02,03,04,05,06,07,08",0.5,2.7,0.0,0.0,4.5,52.7,47.3,22.9,1292.0,,,,,,,,,,
1004,Methuen High,Public School,Methuen,"09,10,11,12",0.2,4.0,0.2,0.1,5.1,52.0,48.0,16.7,1946.0,87.9,3.3,114.0,191.0,146.0,77.0,24.0,473.0,459.0,482.0
1005,Tenney Grammar School,Public School,Methuen,"PK,K,01,02,03,04,05,06,07,08",0.1,3.1,0.0,0.0,5.9,54.0,46.0,20.8,1341.0,,,,,,,,,,
1006,Henry B. Burkland Elementary School,Public School,Middleborough,"01,02,03,04,05",1.7,1.0,0.5,0.2,6.9,53.6,46.4,19.1,597.0,,,,,,,,,,
1007,John T. Nichols Middle,Public School,Middleborough,"06,07,08",1.8,1.3,0.9,0.0,2.7,49.0,51.0,23.6,780.0,,,,,,,,,,
1008,Mary K. Goode Elementary School,Public School,Middleborough,"01,02,03,04,05",2.9,0.7,0.9,0.0,3.4,51.0,49.0,19.9,584.0,,,,,,,,,,
1009,Memorial Early Childhood Center,Public School,Middleboro,"PK,K",2.3,0.8,0.0,0.0,1.5,49.2,50.8,17.2,268.0,,,,,,,,,,
1010,Middleborough High,Public School,Middleborough,"09,10,11,12",2.2,0.7,0.6,0.0,3.0,51.6,48.4,14.6,772.0,93.3,1.3,26.0,56.0,90.0,53.0,28.0,501.0,481.0,509.0
1011,Fuller Meadow,Public School,Middleton,"K,01,02",0.5,4.5,0.5,0.0,3.6,48.0,52.0,11.4,247.0,,,,,,,,,,
1012,Howe-Manning,Public School,Middleton,"PK,03,04,05,06",0.8,4.8,0.0,0.0,4.2,53.8,46.2,16.7,472.0,,,,,,,,,,
1013,Brookside,Public School,Milford,"K,01,02",3.6,1.4,0.6,0.2,3.6,50.9,49.1,14.9,508.0,,,,,,,,,,
1014,Memorial,Public School,Milford,"K,01,02",2.1,2.8,1.5,0.2,5.2,55.2,44.8,20.4,484.0,,,,,,,,,,
1015,Milford High,Public School,Milford,"09,10,11,12",3.0,2.5,1.4,0.1,1.4,49.8,50.2,16.2,1101.0,84.2,4.8,68.0,150.0,143.0,82.0,49.0,505.0,492.0,514.0
1016,Shining Star Early Childhood Center,Public School,Milford,PK,0.0,2.2,0.0,0.0,1.5,64.0,36.0,14.0,159.0,,,,,,,,,,
1017,Stacy Middle,Public School,Milford,"06,07,08",2.8,2.4,1.1,0.0,3.3,52.4,47.6,18.9,969.0,,,,,,,,,,
1018,Woodland,Public School,Milford,"03,04,05",2.5,2.1,3.0,0.0,3.8,52.7,47.3,19.2,654.0,,,,,,,,,,
1019,Elmwood Street,Public School,Millbury,"PK,K,01,02,03",2.0,2.8,0.0,0.0,6.4,54.5,45.5,23.1,618.0,,,,,,,,,,
1020,Millbury Junior/Senior High,Public School,Millbury,"07,08,09,10,11,12",2.5,1.9,0.3,0.1,2.9,49.2,50.8,15.2,716.0,96.0,3.0,17.0,45.0,31.0,13.0,9.0,480.0,459.0,492.0
1021,Raymond E. Shaw Elementary,Public School,Millbury,"04,05,06",1.6,3.0,0.0,0.0,5.3,49.4,50.6,21.5,416.0,,,,,,,,,,
1022,Clyde F Brown,Public School,Millis,"PK,K,01,02,03,04",0.6,0.6,0.4,0.0,4.8,49.0,51.0,18.8,535.0,,,,,,,,,,
1023,Millis High School,Public School,Millis,"09,10,11,12",2.6,1.8,1.0,0.3,1.3,49.5,50.5,14.5,377.0,93.8,1.0,10.0,33.0,49.0,37.0,20.0,516.0,496.0,503.0
1024,Millis Middle,Public School,Millis,"05,06,07,08",1.9,3.3,0.0,0.2,3.0,57.1,42.9,19.4,460.0,,,,,,,,,,
1025,Charles S Pierce Middle,Public School,Milton,"06,07,08",16.0,4.8,0.3,0.3,3.2,50.5,49.5,18.7,908.0,,,,,,,,,,
1026,Collicot,Public School,Milton,"PK,K,01,02,03,04,05",3.3,7.4,0.0,0.1,3.0,54.3,45.7,22.2,700.0,,,,,,,,,,
1027,Cunningham School,Public School,Milton,"K,01,02,03,04,05",7.9,8.3,0.2,0.0,4.0,52.1,47.9,22.3,499.0,,,,,,,,,,
1028,Glover,Public School,Milton,"K,01,02,03,04,05",8.0,4.4,0.0,0.0,4.6,52.3,47.7,21.3,566.0,,,,,,,,,,
1029,Milton High,Public School,Milton,"PK,09,10,11,12",21.1,7.1,0.0,0.4,4.2,49.1,50.9,16.9,1017.0,96.9,2.7,43.0,101.0,198.0,151.0,96.0,530.0,524.0,555.0
1030,Tucker,Public School,Milton,"PK,K,01,02,03,04,05",40.7,6.0,0.0,0.0,7.6,49.4,50.6,20.9,424.0,,,,,,,,,,
1031,Minuteman Regional High,Public School,Lexington,"09,10,11,12",6.2,3.3,0.3,0.0,3.3,66.5,33.3,12.0,615.0,88.0,9.5,4.0,6.0,8.0,6.0,1.0,480.0,448.0,470.0
1032,Buckland-Shelburne Regional,Public School,Shelburne Falls,"PK,K,01,02,03,04,05,06",0.4,0.0,0.8,0.0,3.5,49.8,50.2,30.2,268.0,,,,,,,,,,
1033,Colrain Central,Public School,Colrain,"PK,K,01,02,03,04,05,06",1.8,0.0,0.0,0.0,0.9,42.0,58.0,14.1,111.0,,,,,,,,,,
1034,Heath Elementary,Public School,Charlemont,"PK,K,01,02,03,04,05,06",0.0,0.0,0.0,0.0,0.0,44.8,55.2,7.1,48.0,,,,,,,,,,
