,School Name,School Type,Town,Grade,% African American,% Asian,% Native American,"% Native Hawaiian, Pacific Islander","% Multi-Race, Non-Hispanic",% Males,% Females,Average Class Size,Number of Students,% Graduated,% Still in School,AP_Score=1,AP_Score=2,AP_Score=3,AP_Score=4,AP_Score=5,Average SAT_Reading,Average SAT_Writing,Average SAT_Math
89,Belmont High,Public School,Belmont,"09,10,11,12",4.6,16.8,0.0,0.1,5.2,46.9,53.1,19.2,1249.0,97.8,0.3,16.0,62.0,186.0,331.0,438.0,587.0,584.0,610.0
90,Daniel Butler,Public School,Belmont,"K,01,02,03,04",4.4,23.7,0.6,0.0,5.8,52.6,47.4,22.8,369.0,,,,,,,,,,
91,Mary Lee Burbank,Public School,Belmont,"K,01,02,03,04",2.1,20.6,0.0,0.3,7.5,49.6,50.4,22.8,346.0,,,,,,,,,,
92,Roger E Wellington,Public School,Belmont,"PK,K,01,02,03,04",3.1,15.3,0.0,0.0,10.5,55.1,44.9,22.5,648.0,,,,,,,,,,
93,Winn Brook,Public School,Belmont,"K,01,02,03,04",1.7,24.8,0.2,0.0,6.8,51.3,48.7,22.4,458.0,,,,,,,,,,
94,Winthrop L Chenery Middle,Public School,Belmont,"05,06,07,08",3.5,16.1,0.1,0.1,6.0,49.7,50.3,22.1,1328.0,,,,,,,,,,
95,Berkley Community School,Public School,Berkley,"PK,K,01,02,03,04",0.0,0.2,0.0,0.0,2.8,49.5,50.5,20.8,537.0,,,,,,,,,,
96,Berkley Middle School,Public School,Berkley,"05,06,07,08",1.0,0.8,0.0,0.0,2.6,48.0,52.0,19.3,392.0,,,,,,,,,,
97,Berlin Memorial,Public School,Berlin,"PK,K,01,02,03,04,05",0.5,2.1,0.5,0.0,4.2,57.4,42.6,15.6,186.0,,,,,,,,,,
98,Ayers/Ryal Side School,Public School,Beverly,"K,01,02,03,04,05",3.4,4.4,0.0,0.0,2.1,52.0,48.0,22.0,528.0,,,,,,,,,,
99,Beverly High,Public School,Beverly,"09,10,11,12",3.0,2.7,0.0,0.2,2.2,49.8,50.2,18.9,1285.0,90.8,4.9,45.0,84.0,124.0,65.0,44.0,517.0,511.0,523.0
100,Briscoe Middle,Public School,Beverly,"06,07,08",3.0,2.4,0.0,0.0,3.0,53.9,46.1,19.3,980.0,,,,,,,,,,
101,Centerville Elementary,Public School,Beverly,"K,01,02,03,04,05",3.9,0.6,0.0,0.0,3.9,52.2,47.8,16.5,363.0,,,,,,,,,,
102,Cove Elementary,Public School,Beverly,"K,01,02,03,04,05",3.0,1.3,0.0,0.2,6.7,52.2,47.8,15.8,457.0,,,,,,,,,,
103,Hannah Elementary,Public School,Beverly,"K,01,02,03,04,05",1.3,1.3,0.0,0.0,4.7,51.4,48.6,16.8,369.0,,,,,,,,,,
104,McKeown School,Public School,Beverly,PK,5.4,0.9,0.0,0.0,8.0,63.4,36.6,9.0,135.0,,,,,,,,,,
105,North Beverly Elementary,Public School,Beverly,"K,01,02,03,04,05",2.0,2.0,0.3,0.0,2.6,51.9,48.1,17.0,425.0,,,,,,,,,,
106,Billerica Memorial High School,Public School,Billerica,"PK,09,10,11,12",2.3,6.4,0.1,0.3,2.0,49.9,50.1,17.7,1388.0,92.4,1.9,47.0,83.0,120.0,111.0,64.0,521.0,516.0,540.0
107,Eugene C Vining,Public School,Billerica,"K,01,02,03,04,05",2.0,4.6,0.0,0.5,6.1,53.8,46.2,16.5,200.0,,,,,,,,,,
108,Frederick J Dutile,Public School,North Billerica,"K,01,02,03,04,05",4.3,3.3,0.0,0.0,2.3,50.2,49.8,18.8,301.0,,,,,,,,,,
109,Hajjar Elementary,Public School,Billerica,"K,01,02,03,04,05",4.6,8.6,0.4,0.0,1.0,53.2,46.8,20.3,509.0,,,,,,,,,,
110,John F Kennedy,Public School,Billerica,"K,01,02,03,04,05",1.6,2.8,0.0,0.0,2.2,50.5,49.5,18.7,340.0,,,,,,,,,,
111,Locke Middle,Public School,Billerica,"06,07,08",2.2,6.2,0.0,0.2,2.6,51.1,48.9,18.4,600.0,,,,,,,,,,
112,Marshall Middle School,Public School,Billerica,"06,07,08",3.2,5.5,0.2,0.2,1.3,49.6,50.4,19.2,683.0,,,,,,,,,,
113,Parker,Public School,Billerica,"K,01,02,03,04,05",5.9,10.5,0.4,0.0,3.2,55.8,44.2,20.2,489.0,,,,,,,,,,
