Item,Sku Name,Sku Size,Style,Order Number,Price,Price Currency,Final Payout Amount,Final Payout Currency,Payout Method,Sale Date,Status,Seller Tracking Number,Payout ID
NikeCraft General Purpose Shoe Tom Sachs Archive Dark Sulfur,Tom Sachs Archive Dark Sulfur,10.5W / 9M,DA6672-700,46216382-46116141,165,USD,146.03,USD,ACH,2022-12-26 07:44:24 +00,In Transit,1Z45057R9019629924,""
New Balance 550 White Black,White Black,14,BB550HA1,46206937-46106696,136,USD,120.36,USD,ACH,2022-12-26 02:14:17 +00,In Transit,1Z45057R9019629924,""
Jordan 1 Mid Light Smoke Grey Anthracite,Light Smoke Grey Anthracite,10,554724-078,46180626-46080385,144,USD,127.44,USD,ACH,2022-12-25 17:24:15 +00,In Transit,1Z45057R9019629924,""
Jordan 1 Mid Light Smoke Grey Anthracite,Light Smoke Grey Anthracite,10,554724-078,46192181-46091940,144,USD,127.44,USD,ACH,2022-12-25 20:47:49 +00,In Transit,1Z45057R9019629924,""
adidas NMD HU Pharrell NERD Chalk White,Pharrell NERD Chalk White,12,GW0246,46127277-46027036,165,USD,146.03,USD,ACH,2022-12-24 04:21:41 +00,Delivered,1Z45072V9014969686,""
Jordan 1 Mid Shadow Red,Shadow Red,12.5,554724-096,46143790-46043549,179,USD,158.42,USD,ACH,2022-12-24 18:51:44 +00,Delivered,1Z45072V9014969686,""
Jordan 5 Retro Dark Concord,Dark Concord,8,DD0587-141,46142574-46042333,176,USD,155.76,USD,ACH,2022-12-24 18:15:13 +00,Delivered,1Z45072V9014969686,""
Nike Dunk Low Championship Goldenrod (2021),Championship Goldenrod (2021),11,DD1391-004,46138128-46037887,151,USD,133.64,USD,ACH,2022-12-24 15:50:12 +00,Delivered,1Z45072V9014969686,""
Jordan 13 Retro French Blue (GS),French Blue (GS),7Y,DJ3003-164,46135511-46035270,118,USD,104.43,USD,ACH,2022-12-24 13:43:52 +00,Delivered,1Z45072V9014969686,""
Jordan 13 Retro French Blue (GS),French Blue (GS),7Y,DJ3003-164,46134963-46034722,118,USD,104.43,USD,ACH,2022-12-24 13:10:08 +00,Delivered,1Z45072V9014969686,""
Nike Dunk Low Judge Grey,Judge Grey,9.5,DJ6188-200,46129861-46029620,196,USD,173.46,USD,ACH,2022-12-24 06:22:45 +00,Delivered,1Z45072V9014969686,""
adidas Yeezy Slide Bone (2022/2023 Restock),Bone (2022/2023 Restock),10,FZ5897,46127918-46027677,175,USD,154.88,USD,ACH,2022-12-24 04:46:39 +00,Delivered,1Z45072V9014969686,""
adidas Yeezy 700 V3 Azael,Azael (2019/2022/2023),10,FW4980,46128743-46028502,243,USD,215.06,USD,ACH,2022-12-24 05:25:00 +00,Delivered,1Z45072V9014969686,""
Nike Air Max 90 SE First Use University Blue,First Use University Blue,6W,DA8709-400,46127431-46027190,88,USD,76.36,USD,ACH,2022-12-24 04:27:24 +00,Delivered,1Z45072V9014969686,""
Supreme The North Face Bleached Denim Print Fleece Jacket Indigo,The North Face Bleached Denim Print Fleece,S,N/A,46242106-46141865,300,USD,265.5,USD,ACH,2022-12-26 22:46:23 +00,Delivered,1Z527Y0Y9086710477,""
Fear of God Essentials Hoodie Oak,Essentials,M,N/A,46242224-46141983,208,USD,184.08,USD,ACH,2022-12-26 22:49:37 +00,Delivered,1Z527Y0Y9086710477,""
Kith Ellis Mountain Tee White,Ellis Mountain,S,N/A,46241243-46141002,90,USD,78.3,USD,ACH,2022-12-26 22:26:33 +00,Delivered,1Z527Y0Y9086710477,""
Fear of God Essentials Sweatpants Sweatpants Seafoam,Essentials Sweatpants,S,N/A,46312733-46212492,165,USD,146.03,USD,ACH,2022-12-28 18:44:24 +00,Delivered,1Z527Y0Y9086710477,""
Fear of God Essentials Hoodie Oak,Essentials,XL,N/A,46244696-46144455,108,USD,95.58,USD,ACH,2022-12-26 23:51:00 +00,Delivered,1Z527Y0Y9086710477,""
Yeezy Gap Hoodie Brown,Gap,S,N/A,46247865-46147624,107,USD,94.7,USD,ACH,2022-12-27 01:12:51 +00,Delivered,1Z527Y0Y9086710477,""
Travis Scott Cactus Jack + Kaws For Fragment L/S Tee Multi Grey,Cactus Jack + Kaws For Fragment,L,N/A,46256998-46156757,77,USD,65.69,USD,ACH,2022-12-27 06:01:56 +00,Delivered,1Z527Y0Y9086710477,""
Fear of God Essentials Sweatpants Pistachio,Essentials,S,N/A,46240955-46140714,62,USD,51.14,USD,ACH,2022-12-26 22:19:21 +00,Delivered,1Z527Y0Y9086710477,""
Fear of God Essentials Hoodie Oak,Essentials,XL,N/A,43621736-43521495,87,USD,71.39,USD,ACH,2022-11-05 07:58:27 +00,Delivered,1Z527Y0Y9077100769,""
Fear of God Essentials Hoodie Oak,Essentials,XL,N/A,43548640-43448399,87,USD,71.39,USD,ACH,2022-11-03 13:33:37 +00,Delivered,1Z527Y0Y9068094409,""
Fear of God Essentials Hoodie Oak,Essentials,L,N/A,43511334-43411093,112,USD,95.12,USD,ACH,2022-11-02 14:03:36 +00,Delivered,1Z527Y0Y9079425389,""
Fear of God Essentials Hoodie Oak,Essentials,XL,N/A,43523661-43423420,87,USD,71.39,USD,ACH,2022-11-02 20:09:07 +00,Delivered,1Z527Y0Y9041655782,""
Fear of God Essentials Hoodie Oak,Essentials,XL,N/A,43651965-43551724,87,USD,71.39,USD,ACH,2022-11-06 05:47:31 +00,Delivered,1Z527Y0Y9079148714,""
Fear of God Essentials Hoodie Oak,Essentials,L,N/A,43499391-43399150,112,USD,95.12,USD,ACH,2022-11-02 02:55:01 +00,Delivered,1Z527Y0Y9045496045,""
Jordan 1 Mid Armory Navy,Armory Navy,8,554724-411,41457955-41357714,158,USD,139.83,USD,ACH,2022-09-05 18:11:19 +00,Delivered,1Z45057R9062553175,""
Jordan 6 Retro Bordeaux (TD),Bordeaux (TD),2C,384667-063,41371348-41271107,90,USD,78.3,USD,ACH,2022-09-03 01:07:16 +00,Delivered,1Z45057R9000412488,""
Fear of God Essentials Core Collection T-shirt Light Heather Oatmeal,Essentials Core Collection,M,N/A,41563644-41463403,60,USD,49.2,USD,ACH,2022-09-08 19:59:46 +00,Delivered,1Z8131R99074162778,""
Fear of God Essentials Core Collection T-shirt Light Heather Oatmeal,Essentials Core Collection,XS,N/A,41520795-41420554,61,USD,50.17,USD,ACH,2022-09-07 16:44:44 +00,Delivered,1Z8131R99071830159,""
Fear of God Essentials Core Collection T-shirt Light Heather Oatmeal,Essentials Core Collection,XS,N/A,41524907-41424666,61,USD,50.17,USD,ACH,2022-09-07 18:46:23 +00,Delivered,1Z8131R99085418712,""
Fear of God Essentials Core Collection T-shirt Light Heather Oatmeal,Essentials Core Collection,S,N/A,41346552-41246311,76,USD,64.72,USD,ACH,2022-09-02 13:13:49 +00,Delivered,1Z8131R99045307292,""
Fear of God Essentials Core Collection T-shirt Stretch Limo,Essentials Core Collection,M,N/A,41391275-41291034,59,USD,48.23,USD,ACH,2022-09-03 16:24:58 +00,Delivered,1Z8131R99065854289,""
Fear of God Essentials Core Collection T-shirt Stretch Limo,Essentials Core Collection,M,N/A,41381442-41281201,59,USD,48.23,USD,ACH,2022-09-03 09:09:02 +00,Delivered,1Z8131R99074390325,""
Fear of God Essentials Core Collection T-shirt Light Heather Oatmeal,Essentials Core Collection,S,N/A,41365636-41265395,74,USD,62.78,USD,ACH,2022-09-02 22:04:09 +00,Delivered,1Z8131R99044347027,""
Fear of God Essentials Core Collection T-shirt Stretch Limo,Essentials Core Collection,M,N/A,41064464-40964223,60,USD,49.2,USD,ACH,2022-08-25 21:58:26 +00,Delivered,1Z527Y0Y9057849703,""
Fear of God Essentials Core Collection T-shirt Light Heather Oatmeal,Essentials Core Collection,L,N/A,41069520-40969279,59,USD,48.23,USD,ACH,2022-08-26 00:42:40 +00,Delivered,1Z527Y0Y9051809543,""
Fear of God Essentials Core Collection T-shirt Stretch Limo,Essentials Core Collection,M,N/A,41064433-40964192,60,USD,49.2,USD,ACH,2022-08-25 21:57:51 +00,Delivered,1Z527Y0Y9062008245,""
