,Breed,Classification,obey,reps_lower,reps_upper,Country of Origin,Fur Color,Height,Color of Eyes,Longevity (yrs),bladder stones,cancer,ear infections,eye issues,elbow dysplasia,eye problems,dental problems,respiratory issues,heart conditions,diabetes,hip dysplasia,pancreatitis,intervertebral disc disease,obesity,epilepsy,hereditary myopathy,breathing problems,skin allergies,kind,intelligent,strong,gentle,athletic,charming,calm,brave,curious,trainable,independent,good-natured,hypoallergenic,energetic,playful,affectionate,active,social,loyal,confident,patient,sensitive,friendly,protective
35,affenpinscher,Above Average,70,16,25,Germany,"Black, Brown, Red",10.0,Brown,13.5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
36,miniature pinscher,Above Average,70,16,25,Germany,"Red, Stag Red",11.0,Brown,13.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
37,english setter,Above Average,70,16,25,England,"Black, White, Liver",25.0,Brown,13.5,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
38,pharaoh hound,Above Average,70,16,25,Malta,Red,23.0,Brown,13.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
39,irish wolfhound,Average,50,26,40,Ireland,"Grey, Red, Black",32.5,Brown,7.0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
40,kuvasz,Average,50,26,40,Hungary,White,27.0,Brown,11.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
41,australian shepherd,Average,50,26,40,Australia,"Black, Red",20.5,"Brown, Blue",13.5,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
42,saluki,Average,50,26,40,Middle East,"Cream, Red",25.5,Brown,13.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
43,finnish spitz,Average,50,26,40,Finland,"Red, Golden",17.5,Brown,13.5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
44,pointer,Average,50,26,40,England,"Black, White, Liver",24.0,Brown,13.5,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
45,siberian husky,Average,50,26,40,Russia,"Black, White",22.5,Blue,13.5,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
