,artistName,segment
118,The Neighbourhood,Super Listeners
119,Ricky Montgomery,Previously Active Listeners
120,Bleachers,Light listeners
121,Emmylou Harris,Light listeners
122,Queen,Previously Active Listeners
123,Joshua Bassett,Light listeners
124,USHER,Light listeners
125,Stephanie Poetri,Previously Active Listeners
126,Rixton,Previously Active Listeners
127,Odyssey Piano,Previously Active Listeners
128,Delaney Bailey,Light listeners
129,Seth Maza,Previously Active Listeners
130,Bridgit Mendler,Moderate listeners
131,Pharrell Williams,Light listeners
132,Giveon,Light listeners
133,The Righteous Brothers,Previously Active Listeners
134,Whitney Houston,Previously Active Listeners
135,Kimbra,Previously Active Listeners
136,Keala Settle,Previously Active Listeners
137,Sabrina Carpenter,Moderate listeners
138,"Whatever, Dad",Previously Active Listeners
139,Cigarettes After Sex,Super Listeners
140,Trolls,Previously Active Listeners
141,Daniel Caesar,Super Listeners
142,Julie and the Phantoms Cast,Previously Active Listeners
143,RAYE,Previously Active Listeners
144,Sam Smith,Previously Active Listeners
145,24kGoldn,Previously Active Listeners
146,Brett Dennen,Previously Active Listeners
147,The Vaccines,Super Listeners
148,Pop Smoke,Light listeners
149,Maggie Rogers,Previously Active Listeners
150,TV Girl,Previously Active Listeners
151,Descendants 2 – Cast,Previously Active Listeners
152,Chassidim of the Rebar,Previously Active Listeners
153,Lizzo,Previously Active Listeners
154,Coyote Theory,Light listeners
155,Wasia Project,Moderate listeners
156,Louis Tomlinson,Previously Active Listeners
157,Lenka,Light listeners
158,Cults,Previously Active Listeners
159,The Chainsmokers,Light listeners
160,Dr. Dog,Light listeners
161,*NSYNC,Previously Active Listeners
162,EXE ROHIT,Previously Active Listeners
163,A$AP Ferg,Previously Active Listeners
164,MADAX,Previously Active Listeners
165,Glass Animals,Previously Active Listeners
166,Rivera Instrumental,Previously Active Listeners
167,Christina Aguilera,Previously Active Listeners
168,Lil Wayne,Light listeners
169,reminiscent piano,Previously Active Listeners
170,Flo Rida,Previously Active Listeners
171,Avril Lavigne,Light listeners
172,The 1975,Super Listeners
173,Vacations,Previously Active Listeners
174,Nyce,Moderate listeners
175,Xanemusic,Previously Active Listeners
176,Wallows,Previously Active Listeners
177,Mariah Carey,Previously Active Listeners
178,Holly Cole,Light listeners
179,YG,Light listeners
180,Ryan,Previously Active Listeners
181,Empire Of The Sun,Light listeners
182,Joji,Moderate listeners
183,Chase Atlantic,Moderate listeners
184,"Tyler, The Creator",Super Listeners
185,¥$,Super Listeners
186,Hollis,Previously Active Listeners
187,HXLLYWOOD,Previously Active Listeners
188,YUNGBLUD,Previously Active Listeners
189,Shawn Mendes,Moderate listeners
190,Kodak Black,Light listeners
191,Jason Derulo,Previously Active Listeners
192,Rihanna,Moderate listeners
193,Descendants – Cast,Previously Active Listeners
194,Leith Ross,Light listeners
195,The Notorious B.I.G.,Light listeners
196,xmxtoon,Previously Active Listeners
197,YoungBoy Never Broke Again,Previously Active Listeners
198,unshackled,Previously Active Listeners
199,Men I Trust,Light listeners
200,Faye Webster,Previously Active Listeners
201,Kali Uchis,Moderate listeners
202,Zachary Levi,Previously Active Listeners
203,Tame Impala,Light listeners
204,Dream,Previously Active Listeners
205,NCT,Previously Active Listeners
206,Loveless,Previously Active Listeners
207,Valenzuela Keys,Previously Active Listeners
208,Icona Pop,Light listeners
209,Jess Benko,Moderate listeners
210,Ryn Weaver,Previously Active Listeners
211,grentperez,Previously Active Listeners
212,Eyedress,Previously Active Listeners
213,Weezer,Previously Active Listeners
214,Mazzy Star,Super Listeners
215,Azealia Banks,Previously Active Listeners
216,Young MC,Previously Active Listeners
217,Duckwrth,Previously Active Listeners
218,Ashnikko,Previously Active Listeners
219,Kate Bush,Light listeners
220,sped up nightcore,Previously Active Listeners
221,Oshi Bloom,Previously Active Listeners
222,Journey,Previously Active Listeners
223,Taylor Piano,Previously Active Listeners
224,Taylor Instrumental,Previously Active Listeners
225,Madds Buckley,Previously Active Listeners
226,Alison Krauss,Light listeners
227,Lil Nas X,Previously Active Listeners
228,NIKI,Previously Active Listeners
229,Thundercat,Previously Active Listeners
230,Natalie La Rose,Previously Active Listeners
231,Idlework.,Previously Active Listeners
232,Eddie Clark,Previously Active Listeners
233,Justin Timberlake,Previously Active Listeners
234,Armut,Previously Active Listeners
235,Gillian Welch,Light listeners
236,Disney,Light listeners
237,The Backseat Lovers,Light listeners
238,Jakob,Light listeners
239,TWICE,Light listeners
240,Reneé Rapp,Moderate listeners
241,Meghan Trainor,Previously Active Listeners
242,Doechii,Previously Active Listeners
243,mgk,Previously Active Listeners
244,Cher Lloyd,Light listeners
245,Gotye,Previously Active Listeners
246,Lyle Lovett,Moderate listeners
247,Eric Andre,Previously Active Listeners
248,Cavetown,Light listeners
249,Conan Gray,Super Listeners
250,Gould,Previously Active Listeners
251,Lennon Stella,Previously Active Listeners
252,Vance Joy,Previously Active Listeners
253,88rising,Previously Active Listeners
254,The Rare Occasions,Light listeners
255,JAEHYUN,Previously Active Listeners
256,Kelly Clarkson,Previously Active Listeners
257,sped up music,Previously Active Listeners
258,Sonder,Moderate listeners
259,Sophie Ellis-Bextor,Previously Active Listeners
260,HAIM,Previously Active Listeners
261,Silk Sonic,Previously Active Listeners
262,The Polar Boys,Previously Active Listeners
263,Naomi Scott,Previously Active Listeners
264,keshi,Moderate listeners
265,Plain White T's,Previously Active Listeners
266,The Fray,Moderate listeners
267,Cage The Elephant,Previously Active Listeners
268,Doja Cat,Super Listeners
269,The Walters,Previously Active Listeners
270,Olivia Rodrigo,Super Listeners
271,The Pussycat Dolls,Light listeners
272,Paramore,Light listeners
273,Simple Minds,Previously Active Listeners
274,Adam Hicks,Previously Active Listeners
275,Megan Thee Stallion,Moderate listeners
276,Little Mix,Previously Active Listeners
277,Counting Crows,Previously Active Listeners
278,Central Cee,Previously Active Listeners
279,A Boogie Wit da Hoodie,Super Listeners
280,One Direction,Super Listeners
281,Jay Sean,Previously Active Listeners
282,CTID,Previously Active Listeners
283,Miley Cyrus,Previously Active Listeners
284,Clairo,Super Listeners
285,Paul McCartney,Light listeners
286,Harry S Music,Previously Active Listeners
287,Alexandra Stan,Previously Active Listeners
288,Ryan Lewis,Previously Active Listeners
289,Hot Chelle Rae,Previously Active Listeners
290,Mitchell Hope,Previously Active Listeners
