,year,semi_draw_position,final_draw_position,country,artist_name,song_name,language,style,gender,main_singers,key,BPM,energy,danceability,happiness,loudness,acousticness,instrumentalness,liveness,speechiness,qualified,final_televote_points,final_jury_points,final_televote_votes,final_jury_votes,final_place,final_total_points,semi_place,semi_total_points,backing_dancers,backing_singers,backing_instruments
49,2021,10,-,Croatia,Albina,Tick-Tock,"English,Â Croatian",Pop,Female,1,E Minor,126,76,77,76,-5 dB,5,0,34,4,0,-,-,-,-,-,-,11,110,4,0,0
50,2021,11,4,Belgium,Hooverphonic,The Wrong Place,English,Ballad,Female,1,F Major,80,73,49,25,-4 dB,5,0,16,4,1,3,71,2,17,19,74,9,117,0,1,3
51,2021,12,3,Israel,Eden Alene,Set Me Free,English,Pop,Female,1,Cs Minor,107,66,75,47,-7 dB,28,0,10,8,1,20,73,4,17,17,93,5,192,4,0,0
52,2021,13,-,Romania,Roxen,Amnesia,English,Ballad,Female,1,Bb Minor,120,69,58,25,-6 dB,13,0,16,14,0,-,-,-,-,-,-,12,85,5,0,0
53,2021,14,21,Azerbaijan,Efendi,Mata Hari,English,Pop,Female,1,E Minor,100,68,71,46,-6 dB,1,0,26,4,1,33,32,12,9,20,65,8,138,4,0,0
54,2021,15,19,Ukraine,Go_A,Shum,Ukrainian,Traditional,Female,1,E Major,118,74,53,50,-5 dB,5,0,11,6,1,267,97,38,19,5,364,2,267,2,0,3
55,2021,16,6,Malta,Destiny,Je me casse,English,Pop,Female,1,Ab Minor,112,87,76,78,-4 dB,15,0,28,11,1,47,208,15,35,7,255,1,325,4,0,0
56,2021,1,-,San Marino,Senhit,Adrenalina,English,Dance,Mix,2,Bb Minor,104,89,67,53,-6 dB,0,0,39,8,0,13,37,3,7,-,-,9,118,4,0,0
57,2021,2,-,Estonia,Uku Suviste,The Lucky One,English,Ballad,Male,1,Ab Minor,176,64,40,41,-9 dB,4,0,9,7,0,-,-,-,-,-,-,13,58,0,0,0
58,2021,3,-,Czech Republic,Benny Cristo,Omaga,English,Ballad,Male,1,Fs Major,122,87,72,89,-6 dB,11,0,34,3,0,-,-,-,-,-,-,15,23,4,0,0
59,2021,4,10,Greece,Stefania,Last Dance,English,Pop,Female,1,D Minor,147,91,53,39,-5 dB,2,0,7,4,1,79,91,11,15,10,170,6,184,4,0,0
60,2021,5,-,Austria,Vincent Bueno,Amen,English,Ballad,Male,1,Cs Major,80,38,44,8,-10 dB,1,0,8,4,0,-,-,-,-,-,-,12,66,0,0,0
61,2021,6,-,Poland,Rafal,The Ride,English,Pop,Male,1,B Minor,132,77,69,93,-7 dB,40,0,25,3,0,-,-,-,-,-,-,14,35,4,0,0
62,2021,7,14,Moldova,Natalia Gordienko,Sugar,English,Pop,Female,1,B Minor,120,76,69,51,-7 dB,0,1,13,5,1,62,53,11,6,13,115,7,179,4,0,0
63,2021,8,-,Iceland,Dadi og Gagnamagnio,10 Years,English,Pop,Male,1,D Minor,123,62,80,44,-7 dB,1,0,9,4,0,180,198,29,28,-,-,2,288,0,2,3
64,2021,9,8,Serbia,Hurricane,Loco Loco,Serbian,Pop,Female,3,C Major,105,92,65,60,-4 dB,17,0,16,12,1,82,20,12,3,15,102,8,124,0,0,0
65,2021,10,-,Georgia,Tornike Kipiani,You,English,Ballad,Male,1,C Major,134,37,50,12,-8 dB,24,4,19,2,0,-,-,-,-,-,-,16,16,0,0,0
66,2021,11,2,Albania,Anxhela Peristeri,Karma,Albanian,Ballad,Female,1,G Minor,150,63,52,19,-10 dB,0,0,13,4,1,35,22,5,4,21,57,10,112,0,0,0
67,2021,12,7,Portugal,The Black Mamba,Love Is on My Side,English,Traditional,Male,1,E Major,66,42,28,24,-7 dB,34,0,20,3,1,27,126,6,22,12,153,4,239,0,0,4
68,2021,13,17,Bulgaria,Victoria,Growing Up Is Getting Old,English,Ballad,Female,1,G Major,93,18,52,25,-8 dB,69,0,9,3,1,30,140,5,26,11,170,3,250,0,0,0
69,2021,14,16,Finland,Blind Channel,Dark Side,English,Rock,Male,2,G Major,98,96,57,44,-4 dB,0,0,27,11,1,218,83,37,19,6,301,5,234,0,1,3
70,2021,15,-,Latvia,Samanta Tina,The Moon Is Rising,English,Ballad,Female,1,Bb Minor,150,63,66,33,-8 dB,4,0,14,14,0,-,-,-,-,-,-,17,14,3,0,0
71,2021,16,11,Switzerland,Gjon's Tears,Tout l'univers,French,Ballad,Male,1,A Minor,123,37,52,19,-9 dB,83,0,15,3,1,165,267,34,34,3,432,1,291,0,0,0
72,2021,17,-,Denmark,Fyr og Flamme,Ove os pa hinanden,Danish,Pop,Male,2,C Major,124,87,68,96,-6 dB,1,0,34,3,0,-,-,-,-,-,-,11,89,0,3,0
73,2021,-,23,Netherlands,Jeangu Macrooy,Birth of a New Age,"English,Â Sranan Tongo",Ballad,Male,1,C Minor,95,72,72,54,-5 dB,48,0,23,6,-,0,11,0,5,11,23,-,-,1,2,0
74,2021,-,13,Spain,Blas Canto,Voy a quedarme,Spanish,Ballad,Male,1,Eb Major,76,72,52,36,-5 dB,21,0,8,5,-,0,6,0,2,24,6,-,-,0,0,0
75,2021,-,9,United Kingdom,James Newman,Embers,English,Pop,Male,1,Fs Major,126,82,68,72,-5 dB,0,0,11,6,-,0,0,0,0,26,0,-,-,0,0,4
76,2021,-,15,Germany,Jendrik,I Don't Feel Hate,English,Pop,Male,1,F Minor,114,84,83,75,-5 dB,19,0,3,21,-,0,3,0,2,25,3,-,-,1,0,3
77,2021,-,20,France,Barbara Pravi,Voila,French,Ballad,Female,1,D Minor,135,34,45,60,-9 dB,77,0,30,6,-,251,248,38,33,2,499,-,-,0,0,0
78,2021,-,24,Italy,Maneskin,Zitti e buoni,Italian,Rock,Male,1,E Minor,94,63,64,0,,0,42,7,-3 dB,-,318,206,38,28,1,524,-,-,0,0,3
79,2019,1,11,Cyprus,Tamta,Replay,English,Dance,Female,1,B Minor,102,68,71,50,5 dB,5,0,6,7,1,32,77,4,15,13,109,9,149,4,0,0
80,2019,2,-,Montenegro,D mol,Heaven,English,Pop,Mix,6,D Major,92,73,53,47,8 dB,21,0,31,5,0,-,-,-,-,-,-,16,46,0,0,0
81,2019,3,-,Finland,Darude feat. Sebastian Rejman,Look Away,English,Dance,Male,1,B Minor,126,89,50,48,4 dB,1,0,15,5,0,-,-,-,-,-,-,17,23,1,0,1
82,2019,4,-,Poland,Tulia,Fire of Love,"Polish, English",Traditional,Female,4,A Major,96,78,59,78,4 dB,2,21,64,3,0,-,-,-,-,-,-,11,120,0,0,0
83,2019,5,10,Slovenia,Zala Kralj & Gasper santl,Sebi,Slovene,Ballad,Mix,2,G Minor,108,65,78,74,7 dB,18,2,16,4,1,59,46,13,9,15,105,6,167,0,0,0
84,2019,6,3,Czech Republic,Lake Malawi,Friend of a Friend,English,Pop,Male,1,A Minor,106,74,70,41,5 dB,27,0,7,6,1,7,150,4,26,11,157,2,242,0,0,2
85,2019,7,-,Hungary,Joci Papai,Az en apam,Hungarian,Ballad,Male,1,Eb Minor,96,45,63,33,8 dB,55,0,10,4,0,-,-,-,-,-,-,12,97,0,0,0
86,2019,8,19,Belarus,ZENA,Like It,English,Dance,Female,1,G Minor,105,80,71,35,8 dB,29,0,20,5,1,13,18,2,5,24,31,10,122,2,2,0
87,2019,9,23,Serbia,Nevena Bozovic,Kruna,Serbian,Ballad,Female,1,Ab Minor,158,48,20,16,-6 dB,21,0,13,3,1,54,35,7,8,18,89,7,156,0,0,0
88,2019,10,-,Belgium,Eliot,Wake Up,English,Ballad,Male,1,G Minor,145,20,37,23,-12 dB,89,0,9,4,0,-,-,-,-,-,-,13,70,0,0,2
89,2019,11,-,Georgia,Oto Nemsadze,Keep on Going,Georgian,Traditional,Male,1,B Minor,120,70,32,30,-5 dB,49,0,26,4,0,-,-,-,-,-,-,14,62,0,5,0
90,2019,12,25,Australia,Kate Miller-Heidke,Zero Gravity,English,Opera,Female,1,Fs Major,132,54,46,26,-2 dB,57,0,41,4,1,131,153,30,24,9,284,1,261,2,0,0
91,2019,13,17,Iceland,Hatari,Hatrio mun sigra,Icelandic,Dance,Mix,2,E Minor,110,67,57,48,-10 dB,0,0,9,8,1,186,46,34,9,10,232,3,221,4,0,0
92,2019,14,18,Estonia,Victor Crone,Storm,English,Pop,Male,1,D Major,128,59,62,29,-5 dB,5,0,8,3,1,48,28,10,7,20,76,4,198,0,0,0
93,2019,15,-,Portugal,Conan Osiris,TelemOveis,Portuguese,Traditional,Male,1,G Major,123,37,71,24,-12 dB,62,3,8,5,0,-,-,-,-,-,-,15,51,1,0,0
94,2019,16,13,Greece,Katerine Duska,Better Love,English,Pop,Female,1,Ab Major,88,69,37,35,5 dB,1,0,9,6,1,24,50,3,8,21,74,5,185,2,3,0
95,2019,17,7,San Marino,Serhat,Say Na Na Na,English,Dance,Male,1,Db Minor,118,92,68,74,5 dB,0,0,36,8,1,65,12,11,3,19,77,8,150,0,5,0
96,2019,1,-,Armenia,Srbuk,Walking Out,English,Pop,Female,1,Db Major,130,57,43,17,8 dB,0,23,10,4,0,-,-,-,-,-,-,16,49,0,0,0
97,2019,2,-,Ireland,Sarah McTernan,22,English,Pop,Female,1,C Major,125,45,71,67,9 dB,12,0,65,5,0,-,-,-,-,-,-,18,16,2,0,0
98,2019,3,-,Moldova,Anna Odobescu,Stay,English,Ballad,Female,1,C Minor,156,62,42,24,5 dB,29,0,20,3,0,-,-,-,-,-,-,12,85,1,0,0
99,2019,4,24,Switzerland,Luca Hanni,She Got Me,English,Dance,Male,1,B Minor,97,75,66,48,6 dB,6,0,8,5,1,212,152,38,28,4,364,4,232,4,0,0
100,2019,5,-,Latvia,Carousel,That Night,English,Pop,Female,1,G Minor,93,46,74,67,15 dB,26,80,10,5,0,-,-,-,-,-,-,15,50,0,0,3
101,2019,6,-,Romania,Ester Peony,On a Sunday,English,Pop,Female,1,C Minor,72,49,35,33,6 dB,13,0,11,6,0,-,-,-,-,-,-,13,71,2,2,1
102,2019,7,6,Denmark,Leonora,Love Is Forever,"English,Â French",Pop,Female,1,Db Major,136,42,73,79,5 dB,58,0,7,3,1,51,69,13,16,12,120,10,94,2,2,0
103,2019,8,9,Sweden,John Lundvik,Too Late for Love,English,Ballad,Male,1,C Major,104,75,40,42,4 dB,20,0,7,7,1,93,241,17,32,5,334,3,238,0,4,0
104,2019,9,-,Austria,PAENDA,Limits,English,Ballad,Female,1,C Major,131,36,46,18,12 dB,81,0,11,6,0,-,-,-,-,-,-,17,21,0,0,0
105,2019,10,-,Croatia,Roko,The Dream,"English,Â Croatian",Ballad,Male,1,F Minor,114,60,61,24,10 dB,49,61,34,3,0,-,-,-,-,-,-,14,64,2,0,0
106,2019,11,1,Malta,Michela,Chameleon,English,Pop,Female,1,Bb Minor,98,70,71,85,4 dB,28,0,17,7,1,20,87,4,19,14,107,8,157,4,0,0
107,2019,12,-,Lithuania,Jurij Veklenko,Run with the Lions,English,Pop,Male,1,C Major,158,64,60,41,7 dB,1,39,8,5,0,-,-,-,-,-,-,11,93,0,0,0
108,2019,13,5,Russia,Sergey Lazarev,Scream,English,Ballad,Male,1,Bb Major,92,52,33,26,7 dB,9,0,8,4,1,244,126,30,24,3,370,6,217,0,0,0
109,2019,14,2,Albania,Jonida Maliqi,Ktheju tokes,Albanian,Traditional,Female,1,Db Major,117,70,57,58,6 dB,2,0,21,5,1,47,43,6,10,17,90,9,96,0,3,0
110,2019,15,15,Norway,KEiiNO,Spirit in the Sky,English,Dance,Mix,3,A Minor,122,75,61,36,6 dB,14,0,11,6,1,291,40,37,9,6,331,7,210,0,0,0
111,2019,16,12,Netherlands,Duncan Laurence,Arcade,English,Ballad,Male,1,A Minor,72,33,45,27,13 dB,82,0,14,4,1,261,237,40,32,1,498,1,280,0,0,0
112,2019,17,8,North Macedonia,Tamara Todevska,Proud,English,Ballad,Female,1,C Minor,92,42,36,28,6 dB,82,0,14,3,1,58,247,11,32,7,305,2,239,0,0,0
113,2019,18,20,Azerbaijan,Chingiz,Truth,English,Pop,Male,1,Ab Minor,101,62,63,73,7 dB,5,0,10,4,1,100,202,26,33,8,302,5,224,0,0,0
114,2019,-,4,Germany,S!sters,Sister,English,Ballad,Female,2,C Major,142,45,56,22,9 dB,39,0,7,4,-,0,24,0,5,25,24,-,-,0,0,0
115,2019,-,14,Israel,Kobi Marimi,Home,English,Ballad,Male,1,Ab Major,110,42,55,23,7 dB,70,0,14,4,-,35,0,7,0,23,35,-,-,0,5,0
116,2019,-,16,United Kingdom,Michael Rice,Bigger than Us,English,Ballad,Male,1,C Major,82,55,52,57,8 dB,1,0,9,3,-,3,8,1,5,26,11,-,-,0,5,0
117,2019,-,21,France,Bilal Hassani,Roi,"French, English",Pop,Male,1,Fs Minor,140,67,55,54,7 dB,21,0,12,4,-,38,67,12,18,16,105,-,-,2,0,0
118,2019,-,22,Italy,Mahmood,Soldi,Italian,Pop,Male,1,Eb Minor,95,59,73,35,10 dB,4,0,31,5,-,253,219,38,32,2,472,-,-,3,0,0
119,2019,-,26,Spain,Miki,La Venda,Spanish,Pop,Male,1,C Minor,148,81,62,80,5 dB,8,0,33,6,-,53,1,12,1,22,54,-,-,5,0,0
120,2018,1,-,Azerbaijan,Aisel,X My Heart,English,Pop,Female,1,Ab Major,120,77,52,27,10 dB,0,80,14,3,0,-,-,-,-,-,-,11,94,4,0,0
121,2018,2,-,Iceland,Ari Olafsson,Our Choice,English,Ballad,Male,1,B Major,130,49,48,7,10 dB,0,92,31,3,0,-,-,-,-,-,-,19,15,0,5,0
122,2018,3,12,Albania,Eugent Bushpepa,Mall,Albanian,Rock,Male,4,E Major,95,76,39,41,6 dB,0,79,12,3,1,58,126,8,20,11,184,8,162,0,2,3
123,2018,4,-,Belgium,Sennek,A Matter of Time,English,Pop,Female,1,C Minor,88,59,66,59,6 dB,12,0,20,3,0,-,-,-,-,-,-,12,91,0,0,0
124,2018,5,14,Czech Republic,Mikolas Josef,Lie to Me,English,Pop,Male,1,Fs Minor,106,70,83,64,6 dB,0,0,36,12,1,215,66,35,16,6,281,3,232,2,0,0
125,2018,6,4,Lithuania,Ieva Zasimauskaite,When We're Old,English,Ballad,Female,1,Bb Major,90,19,34,4,15 dB,87,85,16,4,1,91,90,11,17,12,181,9,119,0,0,0
126,2018,7,22,Israel,Netta,Toy,English,Pop,Female,1,Eb Minor,130,71,79,80,5 dB,7,0,24,7,1,317,212,39,34,1,529,1,283,3,0,0
127,2018,8,-,Belarus,Alekseev,Forever,English,Ballad,Male,1,A Minor,117,59,38,41,5 dB,60,0,20,4,0,-,-,-,-,-,-,16,65,1,0,0
128,2018,9,6,Estonia,Elina Nechayeva,La forza,Italian,Opera,Female,1,D Minor,94,60,23,26,8 dB,50,0,27,4,1,102,143,19,26,8,245,5,201,0,0,0
129,2018,10,18,Bulgaria,Equinox,Bones,English,Pop,Mix,5,Fs Minor,88,57,51,43,9 dB,2,39,11,4,1,66,100,15,18,14,166,7,177,0,0,0
130,2018,11,-,Macedonia,Eye Cue,Lost and Found,English,Pop,Female,1,Ab Major,120,76,75,56,3 dB,7,6,11,4,0,-,-,-,-,-,-,18,24,0,3,2
131,2018,12,-,Croatia,Franka,Crazy,English,Pop,Female,1,A Minor,98,41,67,37,8 dB,36,0,63,3,0,-,-,-,-,-,-,17,63,0,0,0
132,2018,13,5,Austria,Cesar Sampson,Nobody but You,English,Pop,Male,1,B Minor,85,51,50,43,6 dB,9,0,36,3,1,71,271,18,34,3,342,4,231,0,0,0
133,2018,14,-,Greece,Yianna Terzi,Oniro mou,Greek,Pop,Female,1,Db Minor,150,66,42,18,7 dB,2,0,12,4,0,-,-,-,-,-,-,14,81,0,0,0
134,2018,15,17,Finland,Saara Aalto,Monsters,English,Pop,Female,1,C Minor,122,73,58,27,4 dB,1,0,6,4,1,23,23,4,6,25,46,10,108,4,0,0
135,2018,16,-,Armenia,Sevak Khanagyan,Qami,Armenian,Pop,Male,1,D Minor,75,50,34,23,8 dB,18,0,27,4,0,-,-,-,-,-,-,15,79,0,0,0
136,2018,17,-,Switzerland,ZiBBZ,Stones,English,Pop,Female,1,A Minor,84,81,49,56,6 dB,4,0,18,5,0,-,-,-,-,-,-,13,86,0,0,1
137,2018,18,24,Ireland,Ryan O'Shaughnessy,Together,English,Traditional,Male,1,F Major,94,32,70,28,13 dB,73,0,12,4,1,62,74,14,19,16,136,6,179,2,0,1
138,2018,19,25,Cyprus,Eleni Foureira,Fuego,English,Pop,Female,1,B Minor,101,74,59,52,5 dB,6,0,58,10,1,253,183,42,27,2,436,2,262,4,0,0
